id,time,era,n,n_mature,n_pup_produced
31-CAAL-revASPM-01,1950,VIRG,8634738.6,2213266.58578437,231421893.544196
31-CAAL-revASPM-01,1950.25,VIRG,7584267,2018905.27635833,211191082.986966
31-CAAL-revASPM-01,1950.5,VIRG,6712990.6,1842136.4582036,192771144.083406
31-CAAL-revASPM-01,1950.75,VIRG,5984053.8,1681323.14802042,175996484.177778
31-CAAL-revASPM-01,1951,INIT,8634738.6,2213266.58578437,231421893.544196
31-CAAL-revASPM-01,1951.25,INIT,7584267,2018905.27635833,211191082.986966
31-CAAL-revASPM-01,1951.5,INIT,6712990.6,1842136.4582036,192771144.083406
31-CAAL-revASPM-01,1951.75,INIT,5984053.8,1681323.14802042,175996484.177778
31-CAAL-revASPM-01,1952,TIME,8635270.9,2213303.17571761,231425307.81809
31-CAAL-revASPM-01,1952.25,TIME,7584733.3,2018936.84564155,211193966.648394
31-CAAL-revASPM-01,1952.5,TIME,6713381.8,1842167.88360111,192774088.495468
31-CAAL-revASPM-01,1952.75,TIME,5984398.4,1681351.50369768,175999125.407974
31-CAAL-revASPM-01,1953,TIME,8635477,2213317.4812088,231426585.08255
31-CAAL-revASPM-01,1953.25,TIME,7584919.4,2018950.62170966,211195298.905854
31-CAAL-revASPM-01,1953.5,TIME,6713546.9,1842178.41675702,192775028.995796
31-CAAL-revASPM-01,1953.75,TIME,5984549.6,1681360.0544644,175999852.674702
31-CAAL-revASPM-01,1954,TIME,8635714.6,2213329.24017533,231427332.46088
31-CAAL-revASPM-01,1954.25,TIME,7585105,2018959.35946782,211195723.439452
31-CAAL-revASPM-01,1954.5,TIME,6713706.6,1842187.91904361,192775631.558494
31-CAAL-revASPM-01,1954.75,TIME,5984678.8,1681356.56424291,175999099.1844
31-CAAL-revASPM-01,1955,TIME,8635915.7,2213309.94000612,231424118.99351
31-CAAL-revASPM-01,1955.25,TIME,7585285.3,2018940.73476064,211192697.390582
31-CAAL-revASPM-01,1955.5,TIME,6713870.1,1842171.43608446,192772898.339224
31-CAAL-revASPM-01,1955.75,TIME,5984826,1681346.02372087,175997101.811264
31-CAAL-revASPM-01,1956,TIME,8636278.8,2213353.28995412,231427704.824138
