"Value" "Parm_StDev" "type" "Yr"
"Early_InitAge_10" 0.00206633 0.200173 "Early_InitAge" 1942
"Early_InitAge_9" 0.000893154 0.200083 "Early_InitAge" 1943
"Early_InitAge_8" 0.00127746 0.200115 "Early_InitAge" 1944
"Early_InitAge_7" 0.00182391 0.200157 "Early_InitAge" 1945
"Early_InitAge_6" 0.00259661 0.200209 "Early_InitAge" 1946
"Early_InitAge_5" 0.00368194 0.200267 "Early_InitAge" 1947
"Early_InitAge_4" 0.00518428 0.200322 "Early_InitAge" 1948
"Early_InitAge_3" 0.00719635 0.200355 "Early_InitAge" 1949
"Early_InitAge_2" 0.00983235 0.200321 "Early_InitAge" 1950
"Early_InitAge_1" 0.0134601 0.200116 "Early_InitAge" 1951
"Main_RecrDev_1952" 0.0229325 0.197922 "Main_RecrDev" 1952
"Main_RecrDev_1953" 0.026546 0.197455 "Main_RecrDev" 1953
"Main_RecrDev_1954" 0.0286738 0.197296 "Main_RecrDev" 1954
"Main_RecrDev_1955" 0.0293678 0.197237 "Main_RecrDev" 1955
"Main_RecrDev_1956" 0.0321694 0.196718 "Main_RecrDev" 1956
"Main_RecrDev_1957" 0.0350044 0.196233 "Main_RecrDev" 1957
"Main_RecrDev_1958" 0.0370998 0.195859 "Main_RecrDev" 1958
"Main_RecrDev_1959" 0.0379876 0.195434 "Main_RecrDev" 1959
"Main_RecrDev_1960" 0.0382251 0.195333 "Main_RecrDev" 1960
"Main_RecrDev_1961" 0.0370826 0.195421 "Main_RecrDev" 1961
"Main_RecrDev_1962" 0.0285331 0.197053 "Main_RecrDev" 1962
"Main_RecrDev_1963" 0.0220961 0.197693 "Main_RecrDev" 1963
"Main_RecrDev_1964" 0.0191064 0.197774 "Main_RecrDev" 1964
"Main_RecrDev_1965" 0.0184211 0.197972 "Main_RecrDev" 1965
"Main_RecrDev_1966" 0.0159861 0.198179 "Main_RecrDev" 1966
"Main_RecrDev_1967" 0.0137609 0.198297 "Main_RecrDev" 1967
"Main_RecrDev_1968" 0.0154075 0.198021 "Main_RecrDev" 1968
"Main_RecrDev_1969" 0.0167664 0.197675 "Main_RecrDev" 1969
"Main_RecrDev_1970" 0.0172314 0.197646 "Main_RecrDev" 1970
"Main_RecrDev_1971" 0.0147565 0.197862 "Main_RecrDev" 1971
"Main_RecrDev_1972" 0.0106862 0.198106 "Main_RecrDev" 1972
"Main_RecrDev_1973" 0.0113624 0.198268 "Main_RecrDev" 1973
"Main_RecrDev_1974" 0.0146626 0.198513 "Main_RecrDev" 1974
"Main_RecrDev_1975" 0.00664718 0.198014 "Main_RecrDev" 1975
"Main_RecrDev_1976" -0.00741288 0.195341 "Main_RecrDev" 1976
"Main_RecrDev_1977" 0.0268732 0.19253 "Main_RecrDev" 1977
"Main_RecrDev_1978" 0.111288 0.160594 "Main_RecrDev" 1978
"Main_RecrDev_1979" 0.0490164 0.159051 "Main_RecrDev" 1979
"Main_RecrDev_1980" 0.2195 0.136695 "Main_RecrDev" 1980
"Main_RecrDev_1981" -0.209557 0.152207 "Main_RecrDev" 1981
"Main_RecrDev_1982" -0.0673823 0.142008 "Main_RecrDev" 1982
"Main_RecrDev_1983" -0.222074 0.150232 "Main_RecrDev" 1983
"Main_RecrDev_1984" -0.205793 0.145636 "Main_RecrDev" 1984
"Main_RecrDev_1985" -0.378007 0.157356 "Main_RecrDev" 1985
"Main_RecrDev_1986" -0.117182 0.169032 "Main_RecrDev" 1986
"Main_RecrDev_1987" 0.204483 0.155506 "Main_RecrDev" 1987
"Main_RecrDev_1988" 0.0140434 0.167466 "Main_RecrDev" 1988
"Main_RecrDev_1989" -0.103026 0.172444 "Main_RecrDev" 1989
"Main_RecrDev_1990" -0.102043 0.181239 "Main_RecrDev" 1990
"Main_RecrDev_1991" 0.000112425 0.1855 "Main_RecrDev" 1991
"Main_RecrDev_1992" 0.133989 0.186458 "Main_RecrDev" 1992
"Main_RecrDev_1993" 0.146268 0.188088 "Main_RecrDev" 1993
"Main_RecrDev_1994" 0.134147 0.191975 "Main_RecrDev" 1994
"Main_RecrDev_1995" 0.179369 0.197061 "Main_RecrDev" 1995
"Main_RecrDev_1996" 0.227593 0.19252 "Main_RecrDev" 1996
"Main_RecrDev_1997" 0.130287 0.186434 "Main_RecrDev" 1997
"Main_RecrDev_1998" 0.0619963 0.180013 "Main_RecrDev" 1998
"Main_RecrDev_1999" 0.0553368 0.184976 "Main_RecrDev" 1999
"Main_RecrDev_2000" 0.126965 0.193628 "Main_RecrDev" 2000
"Main_RecrDev_2001" 0.234588 0.19207 "Main_RecrDev" 2001
"Main_RecrDev_2002" 0.156014 0.18739 "Main_RecrDev" 2002
"Main_RecrDev_2003" -0.00360283 0.177548 "Main_RecrDev" 2003
"Main_RecrDev_2004" -0.0828603 0.1776 "Main_RecrDev" 2004
"Main_RecrDev_2005" -0.0691506 0.178711 "Main_RecrDev" 2005
"Main_RecrDev_2006" -0.0629455 0.178591 "Main_RecrDev" 2006
"Main_RecrDev_2007" -0.100413 0.178347 "Main_RecrDev" 2007
"Main_RecrDev_2008" -0.0882396 0.177208 "Main_RecrDev" 2008
"Main_RecrDev_2009" -0.0723776 0.179243 "Main_RecrDev" 2009
"Main_RecrDev_2010" -0.0808196 0.178252 "Main_RecrDev" 2010
"Main_RecrDev_2011" -0.0908533 0.178691 "Main_RecrDev" 2011
"Main_RecrDev_2012" -0.0771012 0.180626 "Main_RecrDev" 2012
"Main_RecrDev_2013" -0.0836403 0.180587 "Main_RecrDev" 2013
"Main_RecrDev_2014" -0.13164 0.175996 "Main_RecrDev" 2014
"Main_RecrDev_2015" -0.135757 0.177741 "Main_RecrDev" 2015
"Main_RecrDev_2016" -0.0952471 0.181607 "Main_RecrDev" 2016
"Main_RecrDev_2017" -0.0708054 0.182062 "Main_RecrDev" 2017
"Main_RecrDev_2018" -0.0479787 0.182706 "Main_RecrDev" 2018
"Main_RecrDev_2019" -0.0211846 0.185053 "Main_RecrDev" 2019
"Main_RecrDev_2020" -0.0282046 0.190784 "Main_RecrDev" 2020
"Main_RecrDev_2021" -0.00708541 0.197333 "Main_RecrDev" 2021
"Late_RecrDev_2022" -0.00048601 0.199959 "Late_RecrDev" 2022
"ForeRecr_2023" 0 0.2 "ForeRecr" 2023
