id,Fleet,Fleet_name,Used,Kind,Sex,Bin,Obs,Exp,Dev,effN,Nsamp_in,Nsamp_adj
33-CAAL-revASPM-03,2,F02_LL.JP.2,yes,SIZE,1,5,0.033746794,0.026484047,0.00726274700000001,7121.4467,724.037607,724.037607
33-CAAL-revASPM-03,2,F02_LL.JP.2,yes,SIZE,1,7,0.031576852,0.026484047,0.00509280500000001,7121.4467,724.037607,724.037607
33-CAAL-revASPM-03,2,F02_LL.JP.2,yes,SIZE,1,9,0.062268652,0.026484048,0.035784604,7121.4467,724.037607,724.037607
33-CAAL-revASPM-03,2,F02_LL.JP.2,yes,SIZE,1,11,0.066794928,0.026484054,0.040310874,7121.4467,724.037607,724.037607
33-CAAL-revASPM-03,2,F02_LL.JP.2,yes,SIZE,1,13,0.089488226,0.026484055,0.063004171,7121.4467,724.037607,724.037607
33-CAAL-revASPM-03,2,F02_LL.JP.2,yes,SIZE,1,15,0.095012218,0.026484094,0.068528124,7121.4467,724.037607,724.037607
33-CAAL-revASPM-03,2,F02_LL.JP.2,yes,SIZE,1,17,0.074003036,0.02648432,0.047518716,7121.4467,724.037607,724.037607
33-CAAL-revASPM-03,2,F02_LL.JP.2,yes,SIZE,1,19,0.069439892,0.026485307,0.042954585,7121.4467,724.037607,724.037607
33-CAAL-revASPM-03,2,F02_LL.JP.2,yes,SIZE,1,21,0.085283922,0.026489038,0.058794884,7121.4467,724.037607,724.037607
33-CAAL-revASPM-03,2,F02_LL.JP.2,yes,SIZE,1,23,0.081362838,0.026501046,0.054861792,7121.4467,724.037607,724.037607
33-CAAL-revASPM-03,2,F02_LL.JP.2,yes,SIZE,1,25,0.088992502,0.026536952,0.06245555,7121.4467,724.037607,724.037607
33-CAAL-revASPM-03,2,F02_LL.JP.2,yes,SIZE,1,27,0.07291599,0.026635446,0.046280544,7121.4467,724.037607,724.037607
33-CAAL-revASPM-03,2,F02_LL.JP.2,yes,SIZE,1,29,0.080213246,0.026877819,0.053335427,7121.4467,724.037607,724.037607
