id,type,yr,Value,StdDev
36-CAAL-revASPM-06,rec,1952,169.548,33.9561
36-CAAL-revASPM-06,rec,1953,170.473,33.9841
36-CAAL-revASPM-06,rec,1954,169.914,33.7824
36-CAAL-revASPM-06,rec,1955,155.196,30.994
36-CAAL-revASPM-06,rec,1956,150.444,29.9663
36-CAAL-revASPM-06,rec,1957,151.279,29.6857
36-CAAL-revASPM-06,rec,1958,152.584,29.6397
36-CAAL-revASPM-06,rec,1959,145.393,28.1068
36-CAAL-revASPM-06,rec,1960,143.156,27.3809
36-CAAL-revASPM-06,rec,1961,141.209,26.7355
36-CAAL-revASPM-06,rec,1962,122.846,24.8036
36-CAAL-revASPM-06,rec,1963,112.641,23.6908
36-CAAL-revASPM-06,rec,1964,101.141,22.7541
36-CAAL-revASPM-06,rec,1965,114.82,23.2164
36-CAAL-revASPM-06,rec,1966,114.636,23.9662
36-CAAL-revASPM-06,rec,1967,103.259,25.3513
36-CAAL-revASPM-06,rec,1968,118.372,24.0962
36-CAAL-revASPM-06,rec,1969,130.051,24.6843
36-CAAL-revASPM-06,rec,1970,135.997,25.5023
36-CAAL-revASPM-06,rec,1971,125.103,24.5354
36-CAAL-revASPM-06,rec,1972,112.783,23.7583
36-CAAL-revASPM-06,rec,1973,112.439,23.0809
36-CAAL-revASPM-06,rec,1974,112.874,23.2631
36-CAAL-revASPM-06,rec,1975,116.185,23.4992
36-CAAL-revASPM-06,rec,1976,122.49,23.0657
36-CAAL-revASPM-06,rec,1977,124.789,22.6443
36-CAAL-revASPM-06,rec,1978,129.974,23.4143
36-CAAL-revASPM-06,rec,1979,132.023,23.1563
36-CAAL-revASPM-06,rec,1980,129.154,21.8754
36-CAAL-revASPM-06,rec,1981,122.604,20.7549
36-CAAL-revASPM-06,rec,1982,112.344,19.0453
36-CAAL-revASPM-06,rec,1983,97.6896,17.1981
36-CAAL-revASPM-06,rec,1984,103.836,17.855
36-CAAL-revASPM-06,rec,1985,108.297,19.3661
36-CAAL-revASPM-06,rec,1986,117.364,21.5048
36-CAAL-revASPM-06,rec,1987,132.397,22.5123
36-CAAL-revASPM-06,rec,1988,121.149,20.6796
36-CAAL-revASPM-06,rec,1989,110.332,19.0841
36-CAAL-revASPM-06,rec,1990,101.192,18.6311
36-CAAL-revASPM-06,rec,1991,113.117,21.0112
36-CAAL-revASPM-06,rec,1992,136.474,24.8436
36-CAAL-revASPM-06,rec,1993,150.201,25.5498
36-CAAL-revASPM-06,rec,1994,124.519,20.3833
36-CAAL-revASPM-06,rec,1995,112.028,17.5882
36-CAAL-revASPM-06,rec,1996,222.711,20.1568
36-CAAL-revASPM-06,rec,1997,143.849,17.3451
36-CAAL-revASPM-06,rec,1998,187.248,17.0216
36-CAAL-revASPM-06,rec,1999,170.619,15.0095
36-CAAL-revASPM-06,rec,2000,83.6691,10.6329
36-CAAL-revASPM-06,rec,2001,168.234,16.044
36-CAAL-revASPM-06,rec,2002,113.218,15.7278
36-CAAL-revASPM-06,rec,2003,125.607,18.4032
36-CAAL-revASPM-06,rec,2004,113.708,17.3472
36-CAAL-revASPM-06,rec,2005,94.8323,15.7071
36-CAAL-revASPM-06,rec,2006,100.576,16.7047
36-CAAL-revASPM-06,rec,2007,115.74,18.62
36-CAAL-revASPM-06,rec,2008,109.332,16.7189
36-CAAL-revASPM-06,rec,2009,92.8793,14.4366
36-CAAL-revASPM-06,rec,2010,93.5241,13.5214
36-CAAL-revASPM-06,rec,2011,92.2117,12.7257
36-CAAL-revASPM-06,rec,2012,86.6632,11.1982
36-CAAL-revASPM-06,rec,2013,94.4762,10.1897
36-CAAL-revASPM-06,rec,2014,78.8752,9.23038
36-CAAL-revASPM-06,rec,2015,86.4148,9.994
36-CAAL-revASPM-06,rec,2016,86.362,10.4296
36-CAAL-revASPM-06,rec,2017,82.882,10.2846
36-CAAL-revASPM-06,rec,2018,73.0882,9.92445
36-CAAL-revASPM-06,rec,2019,99.2137,14.401
36-CAAL-revASPM-06,rec,2020,129.674,23.527
36-CAAL-revASPM-06,rec,2021,109.008,22.7489
36-CAAL-revASPM-06,rec,2022,109.018,23.4921
