id,Fleet,Fleet_name,Used,Kind,Sex,Bin,Obs,Exp,Dev,effN,Nsamp_in,Nsamp_adj
37-CAAL-revASPM-07,3,F03_LL.JP.3,yes,LEN,1,150,0.2619736733,0.06800806,0.1939656133,274.33061,235.0157,23.50157
37-CAAL-revASPM-07,3,F03_LL.JP.3,yes,LEN,1,155,0.1016467435,0.12719389,-0.0255471465,303.82831,246.6102,24.66102
37-CAAL-revASPM-07,3,F03_LL.JP.3,yes,LEN,1,160,0.4021734015,0.2524945,0.1496789015,325.30591,279.0613,27.90613
37-CAAL-revASPM-07,3,F03_LL.JP.3,yes,LEN,1,165,0.6382521629,0.4942886,0.1439635629,350.40301,285.37399,28.537399
37-CAAL-revASPM-07,3,F03_LL.JP.3,yes,LEN,1,170,1.1300885506,1.0358442,0.0942443506000001,370.65981,291.19186,29.119186
37-CAAL-revASPM-07,3,F03_LL.JP.3,yes,LEN,1,175,1.0708283504,1.5175314,-0.4467030496,379.4094,293.554,29.3554
37-CAAL-revASPM-07,3,F03_LL.JP.3,yes,LEN,1,180,2.0293335107,2.8713509,-0.8420173893,399.92426,306.64002,30.664002
37-CAAL-revASPM-07,3,F03_LL.JP.3,yes,LEN,1,185,2.6420956001,3.119364,-0.4772683999,407.59327,309.90665,30.990665
37-CAAL-revASPM-07,3,F03_LL.JP.3,yes,LEN,1,190,3.2405472002,3.593865,-0.3533177998,409.43072,313.42835,31.342835
37-CAAL-revASPM-07,3,F03_LL.JP.3,yes,LEN,1,195,2.8063412403,3.008219,-0.2018777597,409.43072,313.42835,31.342835
37-CAAL-revASPM-07,3,F03_LL.JP.3,yes,LEN,1,200,2.3776542108,2.765603,-0.3879487892,409.43072,313.42835,31.342835
37-CAAL-revASPM-07,3,F03_LL.JP.3,yes,LEN,1,205,1.6340529807,1.9839567,-0.3499037193,404.21029,307.85817,30.785817
37-CAAL-revASPM-07,3,F03_LL.JP.3,yes,LEN,1,120,0.0215308525,0.000427946,0.0211029065,116.7268,114.13841,11.413841
37-CAAL-revASPM-07,3,F03_LL.JP.3,yes,LEN,1,125,0.0374469832,0.000635282,0.0368117012,132.2197,121.59494,12.159494
37-CAAL-revASPM-07,3,F03_LL.JP.3,yes,LEN,1,130,0.0004986438,0.000899639,-0.0004009952,132.2197,121.59494,12.159494
37-CAAL-revASPM-07,3,F03_LL.JP.3,yes,LEN,1,135,0.0077949227,0.001852602,0.0059423207,132.2197,121.59494,12.159494
