id,Fleet,Fleet_name,Time,Obs,Exp,SE,Dev,Use
39-CAAL-revASPM-09,16,S01_INDEX.1-4,1979.83,1.86281,1.39619,0.333202,0.288342,1
39-CAAL-revASPM-09,16,S01_INDEX.1-4,1980.83,1.31391,1.55978,0.33254,-0.17154,1
39-CAAL-revASPM-09,16,S01_INDEX.1-4,1981.83,1.2559,1.30856,0.332625,-0.0410761,1
39-CAAL-revASPM-09,16,S01_INDEX.1-4,1982.83,1.50646,0.899711,0.326376,0.515444,1
39-CAAL-revASPM-09,16,S01_INDEX.1-4,1983.83,0.922278,0.973796,0.330303,-0.0543548,1
39-CAAL-revASPM-09,16,S01_INDEX.1-4,1984.83,1.32673,0.981877,0.323343,0.301007,1
39-CAAL-revASPM-09,16,S01_INDEX.1-4,1985.83,0.877509,0.932235,0.321945,-0.0604978,1
39-CAAL-revASPM-09,16,S01_INDEX.1-4,1986.83,0.855618,0.958532,0.335276,-0.113579,1
39-CAAL-revASPM-09,16,S01_INDEX.1-4,1987.83,0.835362,1.07551,0.345836,-0.252688,1
39-CAAL-revASPM-09,16,S01_INDEX.1-4,1988.83,0.736157,1.09891,0.35762,-0.400635,1
39-CAAL-revASPM-09,16,S01_INDEX.1-4,1989.83,1.65752,0.906172,0.320639,0.603849,1
39-CAAL-revASPM-09,16,S01_INDEX.1-4,1990.83,1.13159,0.935382,0.336645,0.190424,1
39-CAAL-revASPM-09,16,S01_INDEX.1-4,1991.83,1.02708,1.04846,0.345696,-0.0206072,1
39-CAAL-revASPM-09,16,S01_INDEX.1-4,1992.83,0.558306,1.25902,0.384414,-0.813179,1
39-CAAL-revASPM-09,16,S01_INDEX.1-4,1993.83,0.81207,1.28524,0.34892,-0.459117,1
39-CAAL-revASPM-09,16,S01_INDEX.1-4,1994.83,1.12053,1.11302,0.341153,0.00672607,1
39-CAAL-revASPM-09,16,S01_INDEX.1-4,1995.83,1.11373,1.14854,0.358465,-0.0307734,1
39-CAAL-revASPM-09,16,S01_INDEX.1-4,1996.83,1.1907,1.36083,0.34189,-0.133556,1
39-CAAL-revASPM-09,16,S01_INDEX.1-4,1997.83,1.31626,1.58045,0.348221,-0.182917,1
39-CAAL-revASPM-09,16,S01_INDEX.1-4,1998.83,1.99334,1.36103,0.32869,0.381573,1
39-CAAL-revASPM-09,16,S01_INDEX.1-4,1999.83,1.18608,1.15504,0.36947,0.0265221,1
39-CAAL-revASPM-09,16,S01_INDEX.1-4,2000.83,0.788006,1.14152,0.384061,-0.370611,1
39-CAAL-revASPM-09,16,S01_INDEX.1-4,2001.83,0.727835,1.13104,0.380242,-0.440817,1
39-CAAL-revASPM-09,16,S01_INDEX.1-4,2002.83,0.803887,1.2035,0.361598,-0.40353,1
39-CAAL-revASPM-09,16,S01_INDEX.1-4,2003.83,1.3191,0.997484,0.345035,0.279469,1
39-CAAL-revASPM-09,16,S01_INDEX.1-4,2004.83,1.26325,0.873135,0.348968,0.369353,1
39-CAAL-revASPM-09,16,S01_INDEX.1-4,2005.83,1.04284,0.822214,0.364489,0.237702,1
39-CAAL-revASPM-09,16,S01_INDEX.1-4,2006.83,0.740614,0.808015,0.374613,-0.0871007,1
39-CAAL-revASPM-09,16,S01_INDEX.1-4,2007.83,0.829133,0.875713,0.363606,-0.0546576,1
39-CAAL-revASPM-09,16,S01_INDEX.1-4,2008.83,1.047,0.768649,0.36146,0.30905,1
39-CAAL-revASPM-09,16,S01_INDEX.1-4,2009.83,0.645173,0.763685,0.380014,-0.168638,1
39-CAAL-revASPM-09,16,S01_INDEX.1-4,2010.83,0.790723,0.748419,0.376337,0.0549849,1
39-CAAL-revASPM-09,16,S01_INDEX.1-4,2011.83,0.722675,0.66175,0.38025,0.0880719,1
39-CAAL-revASPM-09,16,S01_INDEX.1-4,2012.83,0.69595,0.600844,0.384556,0.146943,1
39-CAAL-revASPM-09,16,S01_INDEX.1-4,2013.83,0.717588,0.690478,0.38891,0.038512,1
39-CAAL-revASPM-09,16,S01_INDEX.1-4,2014.83,0.790042,0.674374,0.384902,0.158302,1
39-CAAL-revASPM-09,16,S01_INDEX.1-4,2015.83,0.78514,0.589054,0.386274,0.287344,1
39-CAAL-revASPM-09,16,S01_INDEX.1-4,2016.83,0.687733,0.63259,0.380715,0.0835779,1
39-CAAL-revASPM-09,16,S01_INDEX.1-4,2017.83,0.591417,0.728489,0.367136,-0.208452,1
39-CAAL-revASPM-09,16,S01_INDEX.1-4,2018.83,0.724244,0.804308,0.376776,-0.104854,1
39-CAAL-revASPM-09,16,S01_INDEX.1-4,2019.83,0.794833,0.826568,0.361991,-0.03915,1
39-CAAL-revASPM-09,16,S01_INDEX.1-4,2020.83,0.742562,0.933894,0.372401,-0.229257,1
39-CAAL-revASPM-09,16,S01_INDEX.1-4,2021.83,1.23811,1.02261,0.357539,0.191228,1
39-CAAL-revASPM-09,16,S01_INDEX.1-4,2022.83,0.912191,1.19219,0.383859,-0.2677,1
