id,type,yr,Value,StdDev
39-CAAL-revASPM-09,f,1952,0.01527,0.00142273
39-CAAL-revASPM-09,f,1953,0.188278,0.0423115
39-CAAL-revASPM-09,f,1954,1.58933,0.444108
39-CAAL-revASPM-09,f,1955,1.02488,0.290204
39-CAAL-revASPM-09,f,1956,0.822069,0.217584
39-CAAL-revASPM-09,f,1957,0.731077,0.193171
39-CAAL-revASPM-09,f,1958,1.28046,0.33456
39-CAAL-revASPM-09,f,1959,1.17128,0.314467
39-CAAL-revASPM-09,f,1960,1.27553,0.330998
39-CAAL-revASPM-09,f,1961,2.30737,0.626145
39-CAAL-revASPM-09,f,1962,2.38181,0.684692
39-CAAL-revASPM-09,f,1963,2.93913,0.856464
39-CAAL-revASPM-09,f,1964,1.6009,0.46391
39-CAAL-revASPM-09,f,1965,1.77402,0.502715
39-CAAL-revASPM-09,f,1966,2.52665,0.932788
39-CAAL-revASPM-09,f,1967,1.2496,0.424629
39-CAAL-revASPM-09,f,1968,0.883416,0.263391
39-CAAL-revASPM-09,f,1969,0.794475,0.231358
39-CAAL-revASPM-09,f,1970,1.7642,0.52453
39-CAAL-revASPM-09,f,1971,2.59382,0.890801
39-CAAL-revASPM-09,f,1972,2.65076,0.918625
39-CAAL-revASPM-09,f,1973,2.39156,0.802077
39-CAAL-revASPM-09,f,1974,2.09619,0.765813
39-CAAL-revASPM-09,f,1975,1.52948,0.537417
39-CAAL-revASPM-09,f,1976,1.35834,0.464211
39-CAAL-revASPM-09,f,1977,0.64008,0.191111
39-CAAL-revASPM-09,f,1978,1.12495,0.254093
39-CAAL-revASPM-09,f,1979,1.2231,0.304785
39-CAAL-revASPM-09,f,1980,0.88476,0.206607
39-CAAL-revASPM-09,f,1981,1.7803,0.367669
39-CAAL-revASPM-09,f,1982,2.55005,0.665516
39-CAAL-revASPM-09,f,1983,1.66736,0.462768
39-CAAL-revASPM-09,f,1984,1.5917,0.352407
39-CAAL-revASPM-09,f,1985,1.5045,0.338576
39-CAAL-revASPM-09,f,1986,1.32573,0.312454
39-CAAL-revASPM-09,f,1987,1.11757,0.246007
39-CAAL-revASPM-09,f,1988,1.37378,0.290983
39-CAAL-revASPM-09,f,1989,2.36393,0.556635
39-CAAL-revASPM-09,f,1990,1.72878,0.416419
39-CAAL-revASPM-09,f,1991,1.2644,0.288165
39-CAAL-revASPM-09,f,1992,0.903029,0.180165
39-CAAL-revASPM-09,f,1993,1.13427,0.226295
39-CAAL-revASPM-09,f,1994,1.90023,0.380629
39-CAAL-revASPM-09,f,1995,1.77569,0.392969
39-CAAL-revASPM-09,f,1996,1.40922,0.289198
39-CAAL-revASPM-09,f,1997,1.18375,0.209842
39-CAAL-revASPM-09,f,1998,1.97158,0.35776
39-CAAL-revASPM-09,f,1999,1.95394,0.350199
39-CAAL-revASPM-09,f,2000,1.74416,0.296207
39-CAAL-revASPM-09,f,2001,1.56203,0.276663
39-CAAL-revASPM-09,f,2002,1.42425,0.24015
39-CAAL-revASPM-09,f,2003,2.04601,0.337594
39-CAAL-revASPM-09,f,2004,1.95706,0.331248
39-CAAL-revASPM-09,f,2005,1.85508,0.359601
39-CAAL-revASPM-09,f,2006,1.64421,0.330702
39-CAAL-revASPM-09,f,2007,1.49988,0.297784
39-CAAL-revASPM-09,f,2008,1.82304,0.365893
39-CAAL-revASPM-09,f,2009,1.68461,0.346315
39-CAAL-revASPM-09,f,2010,1.70613,0.347292
39-CAAL-revASPM-09,f,2011,2.00546,0.410015
39-CAAL-revASPM-09,f,2012,2.09498,0.45767
39-CAAL-revASPM-09,f,2013,1.56094,0.362206
39-CAAL-revASPM-09,f,2014,1.779,0.343862
39-CAAL-revASPM-09,f,2015,1.94309,0.45509
39-CAAL-revASPM-09,f,2016,1.7257,0.478354
39-CAAL-revASPM-09,f,2017,1.29761,0.318962
39-CAAL-revASPM-09,f,2018,1.38693,0.342283
39-CAAL-revASPM-09,f,2019,1.22373,0.32074
39-CAAL-revASPM-09,f,2020,1.0319,0.25343
39-CAAL-revASPM-09,f,2021,1.1326,0.298435
39-CAAL-revASPM-09,f,2022,0.879702,0.238716
