id,Fleet,Time,Obs,Exp,sel_bio,sel_num,F,Like,Mult
42-CAAL-revASPM-12,1,1952.37,0.002,0.00199999,0.146209,0.00199999,5.28888e-05,3.33503e-08,1
42-CAAL-revASPM-12,1,1952.62,0.002,0.00199999,0.146214,0.00199999,5.29083e-05,3.3374e-08,1
42-CAAL-revASPM-12,1,1953.12,0.068,0.0679998,4.9641,0.0679998,0.00179919,3.32902e-08,1
42-CAAL-revASPM-12,1,1953.37,0.014,0.014,1.02169,0.014,0.000370641,3.36203e-08,1
42-CAAL-revASPM-12,1,1953.62,0.023,0.0229999,1.67849,0.0229999,0.000609114,6.51589e-08,1
42-CAAL-revASPM-12,1,1953.87,0.024,0.0239973,1.73545,0.0239973,0.0006544,5.33331e-05,1
42-CAAL-revASPM-12,1,1954.12,0.175,0.174999,12.4784,0.174999,0.00489065,5.30732e-08,1
42-CAAL-revASPM-12,1,1954.37,0.328,0.327999,23.3613,0.327999,0.00915299,3.82893e-08,1
42-CAAL-revASPM-12,1,1954.62,0.257,0.256996,18.0687,0.256996,0.00740885,8.93389e-07,1
42-CAAL-revASPM-12,1,1954.87,0.34,0.340242,21.9127,0.340242,0.0120681,0.00209785,1
42-CAAL-revASPM-12,1,1955.12,0.216,0.215999,12.7653,0.215999,0.00865323,9.98073e-08,1
42-CAAL-revASPM-12,1,1955.37,0.228,0.227999,13.5839,0.227999,0.00876106,7.59184e-08,1
42-CAAL-revASPM-12,1,1955.62,0.184,0.183999,10.9591,0.183999,0.00704038,7.00701e-08,1
42-CAAL-revASPM-12,1,1955.87,0.412,0.41201,23.896,0.41201,0.0168609,2.27887e-06,1
42-CAAL-revASPM-12,1,1956.12,0.14,0.139999,7.99901,0.139999,0.00584209,9.90605e-08,1
42-CAAL-revASPM-12,1,1956.37,0.201,0.200999,11.6997,0.200999,0.00806558,8.5642e-08,1
42-CAAL-revASPM-12,1,1956.62,0.112,0.111999,6.59496,0.111999,0.00444403,1.00032e-07,1
42-CAAL-revASPM-12,1,1956.87,0.255,0.255005,14.8223,0.255005,0.0107276,1.46429e-06,1
42-CAAL-revASPM-12,1,1957.12,0.125,0.124999,7.18978,0.124999,0.00536775,9.21242e-08,1
42-CAAL-revASPM-12,1,1957.37,0.098,0.0979995,5.73802,0.0979995,0.00405132,9.56177e-08,1
42-CAAL-revASPM-12,1,1957.62,0.234,0.233999,13.8674,0.233999,0.00948902,1.64444e-07,1
42-CAAL-revASPM-12,1,1957.87,0.645,0.645012,37.7436,0.645012,0.0274791,1.50933e-06,1
42-CAAL-revASPM-12,1,1958.12,0.27,0.269999,15.5934,0.269999,0.0117372,9.00342e-08,1
42-CAAL-revASPM-12,1,1958.37,0.241,0.240999,14.1408,0.240999,0.010091,8.73634e-08,1
42-CAAL-revASPM-12,1,1958.62,0.61,0.609997,35.9468,0.609997,0.0255055,8.10496e-08,1
42-CAAL-revASPM-12,1,1958.87,1.446,1.44616,82.1399,1.44616,0.0672265,4.88567e-05,1
42-CAAL-revASPM-12,1,1959.12,0.22,0.219999,12.1256,0.219999,0.0107113,1.17715e-07,1
42-CAAL-revASPM-12,1,1959.37,0.264,0.263998,14.8091,0.263998,0.0122505,1.40094e-07,1
42-CAAL-revASPM-12,1,1959.62,0.534,0.534,29.9511,0.534,0.0248388,5.5473e-10,1
42-CAAL-revASPM-12,1,1959.87,0.9,0.900005,49.3856,0.900005,0.044308,1.47154e-07,1
42-CAAL-revASPM-12,1,1960.12,0.211,0.210999,11.5296,0.210999,0.010347,1.21913e-07,1
42-CAAL-revASPM-12,1,1960.37,0.495,0.494997,27.6564,0.494997,0.0231881,1.22209e-07,1
42-CAAL-revASPM-12,1,1960.62,0.654,0.654005,36.4437,0.654005,0.0313627,2.2533e-07,1
42-CAAL-revASPM-12,1,1960.87,0.978,0.978001,53.2097,0.978001,0.0502334,2.96817e-09,1
42-CAAL-revASPM-12,1,1961.12,0.589,0.588997,31.9532,0.588997,0.0301058,1.22607e-07,1
42-CAAL-revASPM-12,1,1961.37,0.423,0.422998,23.47,0.422998,0.0206015,1.38387e-07,1
42-CAAL-revASPM-12,1,1961.62,7.602,7.60211,417.143,7.60211,0.393991,9.35295e-07,1
42-CAAL-revASPM-12,1,1961.87,0.933,0.933158,48.1776,0.933158,0.0566885,0.000118248,1
