"Label" "Value" "StdDev" "(Val-1.0)/Stddev" "CumNorm"
"SSB_Virgin" "SSB_Virgin" 12215.8 498.079 NA NA
"SSB_Initial" "SSB_Initial" 12215.8 498.079 NA NA
"SSB_1952" "SSB_1952" 12223.1 989.349 NA NA
"SSB_1953" "SSB_1953" 12170.4 957.629 NA NA
"SSB_1954" "SSB_1954" 10949.2 962.972 NA NA
"SSB_1955" "SSB_1955" 4528.77 1284.88 NA NA
"SSB_1956" "SSB_1956" 3647.03 1063.53 NA NA
"SSB_1957" "SSB_1957" 3645.94 923.954 NA NA
"SSB_1958" "SSB_1958" 3722.86 870.92 NA NA
"SSB_1959" "SSB_1959" 2837.07 782.713 NA NA
"SSB_1960" "SSB_1960" 2602.75 704.552 NA NA
"SSB_1961" "SSB_1961" 2434.92 621.02 NA NA
"SSB_1962" "SSB_1962" 1479.02 480.768 NA NA
"SSB_1963" "SSB_1963" 1144.55 368.524 NA NA
"SSB_1964" "SSB_1964" 847.811 290.719 NA NA
"SSB_1965" "SSB_1965" 1188.95 330.675 NA NA
"SSB_1966" "SSB_1966" 1162.11 367.483 NA NA
"SSB_1967" "SSB_1967" 825.523 354.524 NA NA
"SSB_1968" "SSB_1968" 1234.53 394.559 NA NA
"SSB_1969" "SSB_1969" 1694.63 482.233 NA NA
"SSB_1970" "SSB_1970" 2000.62 578.827 NA NA
"SSB_1971" "SSB_1971" 1411.16 498.838 NA NA
"SSB_1972" "SSB_1972" 1011.9 365.225 NA NA
"SSB_1973" "SSB_1973" 1028.63 324.627 NA NA
"SSB_1974" "SSB_1974" 1010.41 342.43 NA NA
"SSB_1975" "SSB_1975" 1051.83 374.366 NA NA
"SSB_1976" "SSB_1976" 1220.21 409.52 NA NA
"SSB_1977" "SSB_1977" 1375.4 456.647 NA NA
"SSB_1978" "SSB_1978" 1907.39 530.271 NA NA
"SSB_1979" "SSB_1979" 1768.1 491.739 NA NA
"SSB_1980" "SSB_1980" 1608.38 454.194 NA NA
"SSB_1981" "SSB_1981" 1937.11 447.288 NA NA
"SSB_1982" "SSB_1982" 1436.55 373.603 NA NA
"SSB_1983" "SSB_1983" 964.83 291.588 NA NA
"SSB_1984" "SSB_1984" 1272.26 299.406 NA NA
"SSB_1985" "SSB_1985" 1294.42 313.096 NA NA
"SSB_1986" "SSB_1986" 1160.57 321.248 NA NA
"SSB_1987" "SSB_1987" 1270.46 325.009 NA NA
"SSB_1988" "SSB_1988" 1466.56 360.194 NA NA
"SSB_1989" "SSB_1989" 1453.17 374.444 NA NA
"SSB_1990" "SSB_1990" 1035.05 303.7 NA NA
"SSB_1991" "SSB_1991" 1139.73 293.42 NA NA
"SSB_1992" "SSB_1992" 1360.89 329.696 NA NA
"SSB_1993" "SSB_1993" 1604.37 382.353 NA NA
"SSB_1994" "SSB_1994" 1676.05 405.521 NA NA
"SSB_1995" "SSB_1995" 1362.68 354.832 NA NA
"SSB_1996" "SSB_1996" 1525.59 354.804 NA NA
"SSB_1997" "SSB_1997" 1827.77 402.344 NA NA
"SSB_1998" "SSB_1998" 2040.52 439.054 NA NA
"SSB_1999" "SSB_1999" 1527.29 374.298 NA NA
"SSB_2000" "SSB_2000" 1318.36 304.182 NA NA
"SSB_2001" "SSB_2001" 1208.19 275.546 NA NA
"SSB_2002" "SSB_2002" 1235.39 286.238 NA NA
"SSB_2003" "SSB_2003" 1343.45 302.032 NA NA
"SSB_2004" "SSB_2004" 1036.1 261.513 NA NA
"SSB_2005" "SSB_2005" 957.851 223.113 NA NA
"SSB_2006" "SSB_2006" 954.814 219.736 NA NA
"SSB_2007" "SSB_2007" 976.677 231.698 NA NA
"SSB_2008" "SSB_2008" 1030.74 236.203 NA NA
"SSB_2009" "SSB_2009" 905.684 219.032 NA NA
"SSB_2010" "SSB_2010" 926.74 212.819 NA NA
"SSB_2011" "SSB_2011" 917.954 209.5 NA NA
"SSB_2012" "SSB_2012" 792.423 191.148 NA NA
"SSB_2013" "SSB_2013" 725.093 176.217 NA NA
"SSB_2014" "SSB_2014" 897.133 195.813 NA NA
"SSB_2015" "SSB_2015" 780.251 192.01 NA NA
"SSB_2016" "SSB_2016" 661.459 180.049 NA NA
"SSB_2017" "SSB_2017" 773.626 192.095 NA NA
"SSB_2018" "SSB_2018" 897.1 227.649 NA NA
"SSB_2019" "SSB_2019" 893.962 256.087 NA NA
"SSB_2020" "SSB_2020" 967.83 285.671 NA NA
"SSB_2021" "SSB_2021" 1132.42 328.177 NA NA
"SSB_2022" "SSB_2022" 1226.44 389.335 NA NA
"SSB_2023" "SSB_2023" 1439.38 483.447 NA NA
"Recr_Virgin" "Recr_Virgin" 172.347 7.02716 NA NA
"Recr_Initial" "Recr_Initial" 172.347 7.02716 NA NA
"Recr_1952" "Recr_1952" 173.398 34.5263 NA NA
"Recr_1953" "Recr_1953" 173.467 34.2727 NA NA
"Recr_1954" "Recr_1954" 172.236 33.8354 NA NA
"Recr_1955" "Recr_1955" 156.825 30.9194 NA NA
"Recr_1956" "Recr_1956" 151.306 29.6631 NA NA
"Recr_1957" "Recr_1957" 151.351 29.0929 NA NA
"Recr_1958" "Recr_1958" 151.96 28.7809 NA NA
"Recr_1959" "Recr_1959" 143.899 27.0156 NA NA
"Recr_1960" "Recr_1960" 141.046 26.1237 NA NA
"Recr_1961" "Recr_1961" 138.805 25.4448 NA NA
"Recr_1962" "Recr_1962" 119.33 23.44 NA NA
"Recr_1963" "Recr_1963" 107.865 22.1157 NA NA
"Recr_1964" "Recr_1964" 94.0972 20.6199 NA NA
"Recr_1965" "Recr_1965" 109.458 21.1709 NA NA
"Recr_1966" "Recr_1966" 108.397 21.9664 NA NA
"Recr_1967" "Recr_1967" 92.7758 23.2768 NA NA
"Recr_1968" "Recr_1968" 111.034 21.7668 NA NA
"Recr_1969" "Recr_1969" 124.454 22.6266 NA NA
"Recr_1970" "Recr_1970" 130.847 23.6043 NA NA
"Recr_1971" "Recr_1971" 116.713 22.5077 NA NA
"Recr_1972" "Recr_1972" 102.092 21.4005 NA NA
"Recr_1973" "Recr_1973" 102.694 20.6653 NA NA
"Recr_1974" "Recr_1974" 101.515 21.1974 NA NA
"Recr_1975" "Recr_1975" 103.782 21.9235 NA NA
"Recr_1976" "Recr_1976" 111.541 21.4638 NA NA
"Recr_1977" "Recr_1977" 114.454 20.9433 NA NA
"Recr_1978" "Recr_1978" 121.498 21.8491 NA NA
"Recr_1979" "Recr_1979" 123.921 21.7916 NA NA
"Recr_1980" "Recr_1980" 122.219 20.1627 NA NA
"Recr_1981" "Recr_1981" 116.169 19.3507 NA NA
"Recr_1982" "Recr_1982" 104.802 17.8697 NA NA
"Recr_1983" "Recr_1983" 87.4017 16.3771 NA NA
"Recr_1984" "Recr_1984" 96.5845 16.3047 NA NA
"Recr_1985" "Recr_1985" 99.1301 18.0248 NA NA
"Recr_1986" "Recr_1986" 105.701 20.8496 NA NA
"Recr_1987" "Recr_1987" 126.555 21.0438 NA NA
"Recr_1988" "Recr_1988" 116.035 19.4635 NA NA
"Recr_1989" "Recr_1989" 103.418 18.0458 NA NA
"Recr_1990" "Recr_1990" 91.3414 18.3341 NA NA
"Recr_1991" "Recr_1991" 105.629 20.3872 NA NA
"Recr_1992" "Recr_1992" 129.866 23.2413 NA NA
"Recr_1993" "Recr_1993" 140.49 25.1073 NA NA
"Recr_1994" "Recr_1994" 138.313 26.4057 NA NA
"Recr_1995" "Recr_1995" 134.54 27.5616 NA NA
"Recr_1996" "Recr_1996" 150.367 27.8708 NA NA
"Recr_1997" "Recr_1997" 144.801 25.9762 NA NA
"Recr_1998" "Recr_1998" 139.41 24.0345 NA NA
"Recr_1999" "Recr_1999" 125.259 22.9576 NA NA
"Recr_2000" "Recr_2000" 126.718 24.6914 NA NA
"Recr_2001" "Recr_2001" 139.296 25.7886 NA NA
"Recr_2002" "Recr_2002" 131.71 23.5068 NA NA
"Recr_2003" "Recr_2003" 115.003 19.5909 NA NA
"Recr_2004" "Recr_2004" 94.7025 17.1172 NA NA
"Recr_2005" "Recr_2005" 93.3942 16.477 NA NA
"Recr_2006" "Recr_2006" 95.067 16.0625 NA NA
"Recr_2007" "Recr_2007" 91.9621 15.9231 NA NA
"Recr_2008" "Recr_2008" 95.6677 16.2362 NA NA
"Recr_2009" "Recr_2009" 92.4598 15.8371 NA NA
"Recr_2010" "Recr_2010" 92.7861 15.4444 NA NA
"Recr_2011" "Recr_2011" 90.6472 15.5042 NA NA
"Recr_2012" "Recr_2012" 85.8444 15.2341 NA NA
"Recr_2013" "Recr_2013" 82.1553 14.1469 NA NA
"Recr_2014" "Recr_2014" 86.3967 14.1346 NA NA
"Recr_2015" "Recr_2015" 79.5546 14.1456 NA NA
"Recr_2016" "Recr_2016" 76.0055 14.643 NA NA
"Recr_2017" "Recr_2017" 84.4344 15.5494 NA NA
"Recr_2018" "Recr_2018" 92.4946 17.222 NA NA
"Recr_2019" "Recr_2019" 94.685 18.7108 NA NA
"Recr_2020" "Recr_2020" 96.3895 20.7377 NA NA
"Recr_2021" "Recr_2021" 104.908 23.7781 NA NA
"Recr_2022" "Recr_2022" 110.421 25.4517 NA NA
"Recr_2023" "Recr_2023" 117.411 26.8618 NA NA
"SPRratio_1952" "SPRratio_1952" 0.0215754 0.00171325 -571.093 0
"SPRratio_1953" "SPRratio_1953" 0.417731 0.0699534 -8.32367 4.31358e-17
"SPRratio_1954" "SPRratio_1954" 1.12859 0.0650173 1.97779 0.976024
"SPRratio_1955" "SPRratio_1955" 1.00492 0.0844545 0.0582392 0.523221
"SPRratio_1956" "SPRratio_1956" 0.944143 0.0860419 -0.649181 0.258111
"SPRratio_1957" "SPRratio_1957" 0.901182 0.0904216 -1.09286 0.137227
"SPRratio_1958" "SPRratio_1958" 1.08795 0.0675481 1.3021 0.903559
"SPRratio_1959" "SPRratio_1959" 1.04326 0.0732471 0.590646 0.722621
"SPRratio_1960" "SPRratio_1960" 1.0674 0.0662368 1.01755 0.845555
"SPRratio_1961" "SPRratio_1961" 1.21534 0.0423919 5.07986 1
"SPRratio_1962" "SPRratio_1962" 1.22288 0.0422922 5.2699 1
"SPRratio_1963" "SPRratio_1963" 1.256 0.0344025 7.44138 1
"SPRratio_1964" "SPRratio_1964" 1.12495 0.0573526 2.17867 0.985322
"SPRratio_1965" "SPRratio_1965" 1.16728 0.0515934 3.24235 0.999407
"SPRratio_1966" "SPRratio_1966" 1.22368 0.0504176 4.43651 0.999995
"SPRratio_1967" "SPRratio_1967" 1.09305 0.0720157 1.29213 0.901845
"SPRratio_1968" "SPRratio_1968" 0.969366 0.0801361 -0.382273 0.35113
"SPRratio_1969" "SPRratio_1969" 0.921686 0.0841276 -0.930897 0.175954
"SPRratio_1970" "SPRratio_1970" 1.17999 0.0514422 3.49888 0.999766
"SPRratio_1971" "SPRratio_1971" 1.2257 0.0424184 5.32073 1
"SPRratio_1972" "SPRratio_1972" 1.20617 0.0429214 4.80348 0.999999
"SPRratio_1973" "SPRratio_1973" 1.19723 0.0468464 4.21017 0.999987
"SPRratio_1974" "SPRratio_1974" 1.17327 0.0541645 3.19899 0.99931
"SPRratio_1975" "SPRratio_1975" 1.13148 0.0622066 2.11355 0.982723
"SPRratio_1976" "SPRratio_1976" 1.09585 0.0667303 1.43644 0.924562
"SPRratio_1977" "SPRratio_1977" 0.880812 0.0853911 -1.39578 0.0813898
"SPRratio_1978" "SPRratio_1978" 1.12007 0.0511776 2.34618 0.990516
"SPRratio_1979" "SPRratio_1979" 1.10277 0.0542169 1.89553 0.970989
"SPRratio_1980" "SPRratio_1980" 0.988646 0.0601393 -0.18879 0.425129
"SPRratio_1981" "SPRratio_1981" 1.18957 0.0349096 5.43034 1
"SPRratio_1982" "SPRratio_1982" 1.22524 0.0337545 6.67287 1
"SPRratio_1983" "SPRratio_1983" 1.1161 0.0468589 2.47775 0.993389
"SPRratio_1984" "SPRratio_1984" 1.12854 0.0431037 2.98211 0.998569
"SPRratio_1985" "SPRratio_1985" 1.14294 0.0463445 3.08429 0.99898
