id,Year,B.Bmsy,F.Fmsy
43-CAAL-revASPM-13,1952,4.5454,9.47156e-07
43-CAAL-revASPM-13,1953,4.54542,1.12039e-05
43-CAAL-revASPM-13,1954,4.54543,6.23142e-05
43-CAAL-revASPM-13,1955,4.54537,2.56505e-05
43-CAAL-revASPM-13,1956,4.54544,2.00684e-05
43-CAAL-revASPM-13,1957,4.54555,1.78134e-05
43-CAAL-revASPM-13,1958,4.54569,2.88405e-05
43-CAAL-revASPM-13,1959,4.54584,2.1852e-05
43-CAAL-revASPM-13,1960,4.54605,2.28267e-05
43-CAAL-revASPM-13,1961,4.54632,3.48034e-05
43-CAAL-revASPM-13,1962,4.54666,2.73539e-05
43-CAAL-revASPM-13,1963,4.54715,2.81848e-05
43-CAAL-revASPM-13,1964,4.5478,1.41997e-05
43-CAAL-revASPM-13,1965,4.54868,1.86194e-05
43-CAAL-revASPM-13,1966,4.54968,2.12587e-05
43-CAAL-revASPM-13,1967,4.55089,1.26868e-05
43-CAAL-revASPM-13,1968,4.5525,1.05933e-05
43-CAAL-revASPM-13,1969,4.55473,1.0863e-05
43-CAAL-revASPM-13,1970,4.55786,2.52304e-05
43-CAAL-revASPM-13,1971,4.56225,2.70432e-05
43-CAAL-revASPM-13,1972,4.56846,2.23167e-05
43-CAAL-revASPM-13,1973,4.57718,2.06878e-05
43-CAAL-revASPM-13,1974,4.58937,1.82009e-05
43-CAAL-revASPM-13,1975,4.60638,1.58662e-05
43-CAAL-revASPM-13,1976,4.6301,1.50958e-05
43-CAAL-revASPM-13,1977,4.66287,8.84688e-06
43-CAAL-revASPM-13,1978,4.70595,1.97079e-05
43-CAAL-revASPM-13,1979,4.75396,1.75798e-05
43-CAAL-revASPM-13,1980,4.79014,1.28016e-05
43-CAAL-revASPM-13,1981,4.79957,2.59224e-05
43-CAAL-revASPM-13,1982,4.78439,2.5244e-05
43-CAAL-revASPM-13,1983,4.75026,1.48431e-05
43-CAAL-revASPM-13,1984,4.70397,1.69061e-05
43-CAAL-revASPM-13,1985,4.65418,1.64068e-05
43-CAAL-revASPM-13,1986,4.60778,1.42812e-05
43-CAAL-revASPM-13,1987,4.57608,1.38565e-05
43-CAAL-revASPM-13,1988,4.56612,1.90649e-05
43-CAAL-revASPM-13,1989,4.57414,2.60095e-05
43-CAAL-revASPM-13,1990,4.5816,1.74322e-05
43-CAAL-revASPM-13,1991,4.5713,1.4085e-05
43-CAAL-revASPM-13,1992,4.55187,1.3117e-05
43-CAAL-revASPM-13,1993,4.54491,1.65863e-05
43-CAAL-revASPM-13,1994,4.56492,2.63968e-05
43-CAAL-revASPM-13,1995,4.60536,2.07683e-05
43-CAAL-revASPM-13,1996,4.65096,1.90384e-05
43-CAAL-revASPM-13,1997,4.68986,2.05396e-05
43-CAAL-revASPM-13,1998,4.70904,3.17709e-05
43-CAAL-revASPM-13,1999,4.69502,2.98229e-05
43-CAAL-revASPM-13,2000,4.65021,2.5196e-05
43-CAAL-revASPM-13,2001,4.59875,2.26599e-05
43-CAAL-revASPM-13,2002,4.56284,2.33287e-05
43-CAAL-revASPM-13,2003,4.54636,3.01374e-05
43-CAAL-revASPM-13,2004,4.53454,2.53449e-05
43-CAAL-revASPM-13,2005,4.50972,1.98826e-05
43-CAAL-revASPM-13,2006,4.47022,1.7499e-05
43-CAAL-revASPM-13,2007,4.4264,1.63476e-05
43-CAAL-revASPM-13,2008,4.3861,1.96487e-05
43-CAAL-revASPM-13,2009,4.34837,1.84976e-05
43-CAAL-revASPM-13,2010,4.31307,1.80043e-05
43-CAAL-revASPM-13,2011,4.28417,2.02155e-05
43-CAAL-revASPM-13,2012,4.26254,1.95674e-05
43-CAAL-revASPM-13,2013,4.24815,1.40308e-05
43-CAAL-revASPM-13,2014,4.23985,1.9817e-05
43-CAAL-revASPM-13,2015,4.23461,1.78467e-05
43-CAAL-revASPM-13,2016,4.23054,1.36921e-05
43-CAAL-revASPM-13,2017,4.23082,1.29629e-05
43-CAAL-revASPM-13,2018,4.24237,1.54258e-05
43-CAAL-revASPM-13,2019,4.26882,1.37298e-05
43-CAAL-revASPM-13,2020,4.30695,1.36982e-05
43-CAAL-revASPM-13,2021,4.35067,1.51882e-05
43-CAAL-revASPM-13,2022,4.3908,1.27993e-05
43-CAAL-revASPM-13,2023,4.41982,1.27993e-05
