id,factor,fleet,value
43-CAAL-revASPM-13,4,1,0.1
43-CAAL-revASPM-13,7,1,0.1
43-CAAL-revASPM-13,4,2,0.0833333
43-CAAL-revASPM-13,7,2,0.1
43-CAAL-revASPM-13,4,3,0.1
43-CAAL-revASPM-13,7,3,0.1
43-CAAL-revASPM-13,4,4,0.1
43-CAAL-revASPM-13,7,4,0.1
43-CAAL-revASPM-13,4,5,0.1
43-CAAL-revASPM-13,7,5,0.1
43-CAAL-revASPM-13,4,6,0.0555556
43-CAAL-revASPM-13,7,6,0.1
43-CAAL-revASPM-13,4,7,0.1
43-CAAL-revASPM-13,7,7,0.1
43-CAAL-revASPM-13,4,8,0.1
43-CAAL-revASPM-13,7,8,0.1
43-CAAL-revASPM-13,4,9,0.1
43-CAAL-revASPM-13,7,9,0.0833333
43-CAAL-revASPM-13,4,10,0.1
43-CAAL-revASPM-13,7,10,0.0434783
43-CAAL-revASPM-13,4,11,0.0625
43-CAAL-revASPM-13,7,11,0.1
43-CAAL-revASPM-13,4,12,0.0294118
43-CAAL-revASPM-13,7,12,0.1
43-CAAL-revASPM-13,4,13,0.1
43-CAAL-revASPM-13,7,13,0.1
43-CAAL-revASPM-13,4,14,0.1
43-CAAL-revASPM-13,7,14,0.1
43-CAAL-revASPM-13,4,15,0.0666667
43-CAAL-revASPM-13,7,15,0.0666667
43-CAAL-revASPM-13,1,16,0.190777
43-CAAL-revASPM-13,4,16,0.1
43-CAAL-revASPM-13,7,16,0.1
