id,Yr,Era,SSB,SSB_nofishing
46-CAAL-revASPM-16,1950,VIRG,21894.5,21894.5
46-CAAL-revASPM-16,1951,INIT,21894.5,21894.5
46-CAAL-revASPM-16,1952,TIME,21896,21896
46-CAAL-revASPM-16,1953,TIME,21841.2,21896.5
46-CAAL-revASPM-16,1954,TIME,20611.1,21897.3
46-CAAL-revASPM-16,1955,TIME,13898.3,21899.1
46-CAAL-revASPM-16,1956,TIME,12803,21901.2
46-CAAL-revASPM-16,1957,TIME,12745.2,21903.5
46-CAAL-revASPM-16,1958,TIME,12922.4,21905.9
46-CAAL-revASPM-16,1959,TIME,11970.6,21908.5
46-CAAL-revASPM-16,1960,TIME,11817.3,21911.5
46-CAAL-revASPM-16,1961,TIME,11683.5,21915.1
46-CAAL-revASPM-16,1962,TIME,10504.1,21919.3
46-CAAL-revASPM-16,1963,TIME,10141.9,21924.4
46-CAAL-revASPM-16,1964,TIME,9841.23,21930.5
46-CAAL-revASPM-16,1965,TIME,10895.7,21937.4
46-CAAL-revASPM-16,1966,TIME,11447.9,21945.1
46-CAAL-revASPM-16,1967,TIME,11543.8,21953.9
46-CAAL-revASPM-16,1968,TIME,12490.9,21964.9
46-CAAL-revASPM-16,1969,TIME,13483.5,21979.3
46-CAAL-revASPM-16,1970,TIME,14282.4,21998.7
46-CAAL-revASPM-16,1971,TIME,13503.6,22025.3
46-CAAL-revASPM-16,1972,TIME,12707.3,22061.2
46-CAAL-revASPM-16,1973,TIME,12525,22108
46-CAAL-revASPM-16,1974,TIME,12608.3,22167.4
46-CAAL-revASPM-16,1975,TIME,13030,22243.2
46-CAAL-revASPM-16,1976,TIME,13643.5,22342.9
46-CAAL-revASPM-16,1977,TIME,14211.4,22479.7
46-CAAL-revASPM-16,1978,TIME,15286,22668.3
46-CAAL-revASPM-16,1979,TIME,15198.1,22894.2
46-CAAL-revASPM-16,1980,TIME,15111.1,23069.4
46-CAAL-revASPM-16,1981,TIME,15479.4,23124.3
46-CAAL-revASPM-16,1982,TIME,14464.4,23098.5
46-CAAL-revASPM-16,1983,TIME,13516.9,22960.1
46-CAAL-revASPM-16,1984,TIME,13790.8,22675.4
46-CAAL-revASPM-16,1985,TIME,13780.1,22340.4
46-CAAL-revASPM-16,1986,TIME,13712.6,22010.4
46-CAAL-revASPM-16,1987,TIME,13932.8,21790
46-CAAL-revASPM-16,1988,TIME,14287.1,21749.5
46-CAAL-revASPM-16,1989,TIME,14241.4,21878
46-CAAL-revASPM-16,1990,TIME,13412.2,22037.2
46-CAAL-revASPM-16,1991,TIME,13475.2,22040.2
46-CAAL-revASPM-16,1992,TIME,13845.9,21917
46-CAAL-revASPM-16,1993,TIME,14338.8,21851.8
46-CAAL-revASPM-16,1994,TIME,14535.6,21992.7
46-CAAL-revASPM-16,1995,TIME,13905.9,22324.4
46-CAAL-revASPM-16,1996,TIME,14032.3,22736.5
46-CAAL-revASPM-16,1997,TIME,14453.2,23145
46-CAAL-revASPM-16,1998,TIME,14677.9,23455.9
46-CAAL-revASPM-16,1999,TIME,13558,23535.9
46-CAAL-revASPM-16,2000,TIME,12732,23342.1
46-CAAL-revASPM-16,2001,TIME,12308,23043.2
46-CAAL-revASPM-16,2002,TIME,12340.8,22838.4
46-CAAL-revASPM-16,2003,TIME,12478.3,22792.2
46-CAAL-revASPM-16,2004,TIME,11865.6,22782.8
46-CAAL-revASPM-16,2005,TIME,11645,22620.9
46-CAAL-revASPM-16,2006,TIME,11767.2,22274.7
46-CAAL-revASPM-16,2007,TIME,12026.4,21852.3
46-CAAL-revASPM-16,2008,TIME,12266.4,21451
46-CAAL-revASPM-16,2009,TIME,12129.5,21082.2
46-CAAL-revASPM-16,2010,TIME,12134.6,20743.2
46-CAAL-revASPM-16,2011,TIME,12100.4,20459.9
46-CAAL-revASPM-16,2012,TIME,11882.4,20237.2
46-CAAL-revASPM-16,2013,TIME,11773.4,20071.4
46-CAAL-revASPM-16,2014,TIME,12163.3,19954.2
46-CAAL-revASPM-16,2015,TIME,12056.5,19863.8
46-CAAL-revASPM-16,2016,TIME,12015,19779.7
46-CAAL-revASPM-16,2017,TIME,12342.5,19717.9
46-CAAL-revASPM-16,2018,TIME,12765.4,19727.6
46-CAAL-revASPM-16,2019,TIME,13012.6,19840.9
46-CAAL-revASPM-16,2020,TIME,13356,20045.4
46-CAAL-revASPM-16,2021,TIME,13724.7,20311.7
46-CAAL-revASPM-16,2022,TIME,13972.1,20589
46-CAAL-revASPM-16,2023,FORE,14355.7,20824.3
