id,type,yr,Value,StdDev
51-CAAL-oneFleet-09,f,1952,0.014587,0.00153109
51-CAAL-oneFleet-09,f,1953,0.180785,0.0413671
51-CAAL-oneFleet-09,f,1954,1.55309,0.442258
51-CAAL-oneFleet-09,f,1955,0.992381,0.287184
51-CAAL-oneFleet-09,f,1956,0.797353,0.215086
51-CAAL-oneFleet-09,f,1957,0.712089,0.190882
51-CAAL-oneFleet-09,f,1958,1.25812,0.332697
51-CAAL-oneFleet-09,f,1959,1.15427,0.312387
51-CAAL-oneFleet-09,f,1960,1.26586,0.328581
51-CAAL-oneFleet-09,f,1961,2.33225,0.627648
51-CAAL-oneFleet-09,f,1962,2.44431,0.686711
51-CAAL-oneFleet-09,f,1963,3.06411,0.853258
51-CAAL-oneFleet-09,f,1964,1.67657,0.456502
51-CAAL-oneFleet-09,f,1965,1.86438,0.49575
51-CAAL-oneFleet-09,f,1966,2.74657,0.965632
51-CAAL-oneFleet-09,f,1967,1.35327,0.432311
51-CAAL-oneFleet-09,f,1968,0.946694,0.26332
51-CAAL-oneFleet-09,f,1969,0.852549,0.235785
51-CAAL-oneFleet-09,f,1970,1.91179,0.54192
51-CAAL-oneFleet-09,f,1971,2.88465,0.921204
51-CAAL-oneFleet-09,f,1972,2.97291,0.922485
51-CAAL-oneFleet-09,f,1973,2.6968,0.815329
51-CAAL-oneFleet-09,f,1974,2.4256,0.823557
51-CAAL-oneFleet-09,f,1975,1.77606,0.584638
51-CAAL-oneFleet-09,f,1976,1.58358,0.516058
51-CAAL-oneFleet-09,f,1977,0.736602,0.215154
51-CAAL-oneFleet-09,f,1978,1.26175,0.280587
51-CAAL-oneFleet-09,f,1979,1.40463,0.351164
51-CAAL-oneFleet-09,f,1980,1.01396,0.23941
51-CAAL-oneFleet-09,f,1981,2.01175,0.415032
51-CAAL-oneFleet-09,f,1982,2.99285,0.779871
51-CAAL-oneFleet-09,f,1983,1.9849,0.550547
51-CAAL-oneFleet-09,f,1984,1.83095,0.399811
51-CAAL-oneFleet-09,f,1985,1.74573,0.40183
51-CAAL-oneFleet-09,f,1986,1.55313,0.373108
51-CAAL-oneFleet-09,f,1987,1.2922,0.288617
51-CAAL-oneFleet-09,f,1988,1.58157,0.352536
51-CAAL-oneFleet-09,f,1989,2.76373,0.677772
51-CAAL-oneFleet-09,f,1990,2.02631,0.497759
51-CAAL-oneFleet-09,f,1991,1.46893,0.341205
51-CAAL-oneFleet-09,f,1992,1.03252,0.216382
51-CAAL-oneFleet-09,f,1993,1.29807,0.277447
51-CAAL-oneFleet-09,f,1994,2.17567,0.465838
51-CAAL-oneFleet-09,f,1995,2.05831,0.481396
51-CAAL-oneFleet-09,f,1996,1.60511,0.34437
51-CAAL-oneFleet-09,f,1997,1.32045,0.247133
51-CAAL-oneFleet-09,f,1998,2.20464,0.424848
51-CAAL-oneFleet-09,f,1999,2.186,0.418688
51-CAAL-oneFleet-09,f,2000,1.93493,0.342174
51-CAAL-oneFleet-09,f,2001,1.74095,0.321869
51-CAAL-oneFleet-09,f,2002,1.58175,0.283979
51-CAAL-oneFleet-09,f,2003,2.26568,0.392816
51-CAAL-oneFleet-09,f,2004,2.17625,0.378527
51-CAAL-oneFleet-09,f,2005,2.0949,0.40924
51-CAAL-oneFleet-09,f,2006,1.86137,0.373168
51-CAAL-oneFleet-09,f,2007,1.69593,0.333268
51-CAAL-oneFleet-09,f,2008,2.05928,0.401067
51-CAAL-oneFleet-09,f,2009,1.90938,0.379618
51-CAAL-oneFleet-09,f,2010,1.92503,0.370571
51-CAAL-oneFleet-09,f,2011,2.26073,0.429443
51-CAAL-oneFleet-09,f,2012,2.38419,0.477087
51-CAAL-oneFleet-09,f,2013,1.79102,0.379046
51-CAAL-oneFleet-09,f,2014,1.99368,0.345035
51-CAAL-oneFleet-09,f,2015,2.23597,0.474798
51-CAAL-oneFleet-09,f,2016,2.04173,0.517388
51-CAAL-oneFleet-09,f,2017,1.50339,0.334823
51-CAAL-oneFleet-09,f,2018,1.6118,0.37109
51-CAAL-oneFleet-09,f,2019,1.43529,0.3595
51-CAAL-oneFleet-09,f,2020,1.19497,0.285628
51-CAAL-oneFleet-09,f,2021,1.32385,0.351042
51-CAAL-oneFleet-09,f,2022,1.02613,0.291475
