"Label" "Value" "StdDev" "(Val-1.0)/Stddev" "CumNorm"
"SSB_Virgin" "SSB_Virgin" 12115.2 573.832 NA NA
"SSB_Initial" "SSB_Initial" 12115.2 573.832 NA NA
"SSB_1952" "SSB_1952" 12132.1 1013.79 NA NA
"SSB_1953" "SSB_1953" 12082.8 979.92 NA NA
"SSB_1954" "SSB_1954" 10868.3 979.815 NA NA
"SSB_1955" "SSB_1955" 4496.52 1270.63 NA NA
"SSB_1956" "SSB_1956" 3621.2 1052.09 NA NA
"SSB_1957" "SSB_1957" 3623.5 915.521 NA NA
"SSB_1958" "SSB_1958" 3704.2 864.164 NA NA
"SSB_1959" "SSB_1959" 2827.91 777.258 NA NA
"SSB_1960" "SSB_1960" 2598.42 701.357 NA NA
"SSB_1961" "SSB_1961" 2435.88 621.171 NA NA
"SSB_1962" "SSB_1962" 1488.68 487.952 NA NA
"SSB_1963" "SSB_1963" 1156.96 381.181 NA NA
"SSB_1964" "SSB_1964" 861.654 308.022 NA NA
"SSB_1965" "SSB_1965" 1205.57 352.302 NA NA
"SSB_1966" "SSB_1966" 1182.16 394.045 NA NA
"SSB_1967" "SSB_1967" 847.842 387.34 NA NA
"SSB_1968" "SSB_1968" 1259.75 431.762 NA NA
"SSB_1969" "SSB_1969" 1725.23 525.072 NA NA
"SSB_1970" "SSB_1970" 2038.85 630.436 NA NA
"SSB_1971" "SSB_1971" 1446.37 550.967 NA NA
"SSB_1972" "SSB_1972" 1039.08 410.928 NA NA
"SSB_1973" "SSB_1973" 1053.39 367.351 NA NA
"SSB_1974" "SSB_1974" 1038.9 392.314 NA NA
"SSB_1975" "SSB_1975" 1085.23 434.99 NA NA
"SSB_1976" "SSB_1976" 1257.86 479.027 NA NA
"SSB_1977" "SSB_1977" 1418.21 534.444 NA NA
"SSB_1978" "SSB_1978" 1958.21 619.668 NA NA
"SSB_1979" "SSB_1979" 1818.11 581.707 NA NA
"SSB_1980" "SSB_1980" 1656.05 542.975 NA NA
"SSB_1981" "SSB_1981" 1981.6 532.442 NA NA
"SSB_1982" "SSB_1982" 1467.1 441.5 NA NA
"SSB_1983" "SSB_1983" 977.846 343.973 NA NA
"SSB_1984" "SSB_1984" 1271.61 347.808 NA NA
"SSB_1985" "SSB_1985" 1280.3 356.424 NA NA
"SSB_1986" "SSB_1986" 1124.72 360.221 NA NA
"SSB_1987" "SSB_1987" 1198.55 358.789 NA NA
"SSB_1988" "SSB_1988" 1379.81 401.397 NA NA
"SSB_1989" "SSB_1989" 1397.84 425.855 NA NA
"SSB_1990" "SSB_1990" 1043.28 350.713 NA NA
"SSB_1991" "SSB_1991" 1135.54 338.722 NA NA
"SSB_1992" "SSB_1992" 1346.95 382.425 NA NA
"SSB_1993" "SSB_1993" 1612.56 444.309 NA NA
"SSB_1994" "SSB_1994" 1705.33 468.082 NA NA
"SSB_1995" "SSB_1995" 1389.56 406.033 NA NA
"SSB_1996" "SSB_1996" 1546.34 411.557 NA NA
"SSB_1997" "SSB_1997" 1883.18 473.656 NA NA
"SSB_1998" "SSB_1998" 2153.8 521.015 NA NA
"SSB_1999" "SSB_1999" 1646.43 455.147 NA NA
"SSB_2000" "SSB_2000" 1459.75 381.76 NA NA
"SSB_2001" "SSB_2001" 1396.39 352.524 NA NA
"SSB_2002" "SSB_2002" 1425.92 377.214 NA NA
"SSB_2003" "SSB_2003" 1544.29 393.652 NA NA
"SSB_2004" "SSB_2004" 1250.93 334.367 NA NA
"SSB_2005" "SSB_2005" 1073.52 282.559 NA NA
"SSB_2006" "SSB_2006" 1014.72 271.462 NA NA
"SSB_2007" "SSB_2007" 1034.51 279.209 NA NA
"SSB_2008" "SSB_2008" 1078.72 284.286 NA NA
