id,time,era,n,n_mature,n_pup_produced
54-CAAL-exdblnorm,1950,VIRG,8584790,2460715.23782531,216619765.10102
54-CAAL-exdblnorm,1950.25,VIRG,7540409.2,2241569.60568316,197396378.30064
54-CAAL-exdblnorm,1950.5,VIRG,6674160.8,2042947.3961151,179958029.06012
54-CAAL-exdblnorm,1950.75,VIRG,5949444.3,1862841.98862524,164132404.06683
54-CAAL-exdblnorm,1951,INIT,8584790,2460715.23782531,216619765.10102
54-CAAL-exdblnorm,1951.25,INIT,7540409.2,2241569.60568316,197396378.30064
54-CAAL-exdblnorm,1951.5,INIT,6674160.8,2042947.3961151,179958029.06012
54-CAAL-exdblnorm,1951.75,INIT,5949444.3,1862841.98862524,164132404.06683
54-CAAL-exdblnorm,1952,TIME,9077328,2885413.07651122,253380342.0657
54-CAAL-exdblnorm,1952.25,TIME,7999234.5,2628190.35105534,230870752.9326
54-CAAL-exdblnorm,1952.5,TIME,7099372,2395113.97575231,210456756.65978
54-CAAL-exdblnorm,1952.75,TIME,6341887.5,2183808.10122087,191934661.95782
54-CAAL-exdblnorm,1953,TIME,8839979.2,2817788.18203481,249037500.86524
54-CAAL-exdblnorm,1953.25,TIME,7782935,2567284.0864446,226968441.65736
54-CAAL-exdblnorm,1953.5,TIME,6902359,2340144.675731,206941969.93866
54-CAAL-exdblnorm,1953.75,TIME,6162483.9,2134088.90703893,188760952.74671
54-CAAL-exdblnorm,1954,TIME,8613388.2,2700402.08529578,239383792.15028
54-CAAL-exdblnorm,1954.25,TIME,7581095.5,2460626.68315155,218197237.31702
54-CAAL-exdblnorm,1954.5,TIME,6721628.4,2243153.5993144,198965863.38852
54-CAAL-exdblnorm,1954.75,TIME,5999872.3,2045804.53450742,181500923.73528
54-CAAL-exdblnorm,1955,TIME,8405798.8,2604090.55435129,230673672.3684
54-CAAL-exdblnorm,1955.25,TIME,7396985.5,2372787.2877642,210253851.52568
54-CAAL-exdblnorm,1955.5,TIME,6557368,2163015.85075258,191719318.9605
54-CAAL-exdblnorm,1955.75,TIME,5852517,1972676.95528797,174888572.58168
54-CAAL-exdblnorm,1956,TIME,8205622.4,2527933.26322717,223722104.75796
54-CAAL-exdblnorm,1956.25,TIME,7220240.8,2303311.47830071,203910842.03498
54-CAAL-exdblnorm,1956.5,TIME,6400226.7,2099619.0499776,185930301.72508
54-CAAL-exdblnorm,1956.75,TIME,5711948.1,1914811.56951981,169603894.6307
54-CAAL-exdblnorm,1957,TIME,7969736,2461570.00138752,217725251.03438
54-CAAL-exdblnorm,1957.25,TIME,7014167.1,2242795.52897987,198440769.73602
54-CAAL-exdblnorm,1957.5,TIME,6218620.1,2044414.61893637,180939118.4217
54-CAAL-exdblnorm,1957.75,TIME,5550594.4,1864437.8620138,165048557.77848
54-CAAL-exdblnorm,1958,TIME,8064642,2400460.35834337,212262741.38204
54-CAAL-exdblnorm,1958.25,TIME,7084447.2,2187094.0890493,193459942.4383
54-CAAL-exdblnorm,1958.5,TIME,6271419.3,1993622.97663324,176395993.75954
54-CAAL-exdblnorm,1958.75,TIME,5591124.2,1818099.73693674,160902781.36966
54-CAAL-exdblnorm,1959,TIME,8101998,2337757.10704137,206737814.34618
54-CAAL-exdblnorm,1959.25,TIME,7115376,2129967.78587713,188425099.1007
54-CAAL-exdblnorm,1959.5,TIME,6297301.5,1941552.8400457,171805725.21342
54-CAAL-exdblnorm,1959.75,TIME,5613069.8,1770618.39365675,156716252.68294
54-CAAL-exdblnorm,1960,TIME,7907186.4,2316672.44731717,204260681.5257
54-CAAL-exdblnorm,1960.25,TIME,6952875.2,2110485.31030164,186146689.47436
