"Value" "Parm_StDev" "type" "Yr"
"Early_InitAge_10" -0.0163388 0.198976 "Early_InitAge" 1942
"Early_InitAge_9" -0.00616501 0.199489 "Early_InitAge" 1943
"Early_InitAge_8" -0.00635755 0.199533 "Early_InitAge" 1944
"Early_InitAge_7" -0.00360267 0.199845 "Early_InitAge" 1945
"Early_InitAge_6" 0.00615517 0.200655 "Early_InitAge" 1946
"Early_InitAge_5" 0.0285804 0.202088 "Early_InitAge" 1947
"Early_InitAge_4" 0.0606263 0.203502 "Early_InitAge" 1948
"Early_InitAge_3" 0.0733089 0.203567 "Early_InitAge" 1949
"Early_InitAge_2" 0.0770287 0.203387 "Early_InitAge" 1950
"Early_InitAge_1" 0.0977158 0.203998 "Early_InitAge" 1951
"Main_RecrDev_1952" 0.132195 0.200366 "Main_RecrDev" 1952
"Main_RecrDev_1953" 0.108687 0.197221 "Main_RecrDev" 1953
"Main_RecrDev_1954" 0.0718505 0.195137 "Main_RecrDev" 1954
"Main_RecrDev_1955" 0.0580468 0.194324 "Main_RecrDev" 1955
"Main_RecrDev_1956" 0.0729293 0.195531 "Main_RecrDev" 1956
"Main_RecrDev_1957" 0.099445 0.197422 "Main_RecrDev" 1957
"Main_RecrDev_1958" 0.115968 0.196221 "Main_RecrDev" 1958
"Main_RecrDev_1959" 0.102179 0.197215 "Main_RecrDev" 1959
"Main_RecrDev_1960" 0.117962 0.194913 "Main_RecrDev" 1960
"Main_RecrDev_1961" 0.0818653 0.19221 "Main_RecrDev" 1961
"Main_RecrDev_1962" 0.0256482 0.193059 "Main_RecrDev" 1962
"Main_RecrDev_1963" 0.0240404 0.192695 "Main_RecrDev" 1963
"Main_RecrDev_1964" 0.0183291 0.193214 "Main_RecrDev" 1964
"Main_RecrDev_1965" -0.00311636 0.192188 "Main_RecrDev" 1965
"Main_RecrDev_1966" -0.0193239 0.191958 "Main_RecrDev" 1966
"Main_RecrDev_1967" -0.00828734 0.192685 "Main_RecrDev" 1967
"Main_RecrDev_1968" 0.0125955 0.191352 "Main_RecrDev" 1968
"Main_RecrDev_1969" -0.0101529 0.187009 "Main_RecrDev" 1969
"Main_RecrDev_1970" -0.0514702 0.18272 "Main_RecrDev" 1970
"Main_RecrDev_1971" -0.0368353 0.183236 "Main_RecrDev" 1971
"Main_RecrDev_1972" -0.0185942 0.186266 "Main_RecrDev" 1972
"Main_RecrDev_1973" 0.0126126 0.184007 "Main_RecrDev" 1973
"Main_RecrDev_1974" -0.0704922 0.182817 "Main_RecrDev" 1974
"Main_RecrDev_1975" -0.0942527 0.180197 "Main_RecrDev" 1975
"Main_RecrDev_1976" -0.0320846 0.176119 "Main_RecrDev" 1976
"Main_RecrDev_1977" -0.00835457 0.175648 "Main_RecrDev" 1977
"Main_RecrDev_1978" 0.140505 0.149156 "Main_RecrDev" 1978
"Main_RecrDev_1979" 0.107572 0.150239 "Main_RecrDev" 1979
"Main_RecrDev_1980" 0.174851 0.133527 "Main_RecrDev" 1980
"Main_RecrDev_1981" -0.236898 0.146796 "Main_RecrDev" 1981
"Main_RecrDev_1982" -0.0550876 0.135264 "Main_RecrDev" 1982
"Main_RecrDev_1983" -0.200576 0.143572 "Main_RecrDev" 1983
"Main_RecrDev_1984" -0.213278 0.139882 "Main_RecrDev" 1984
"Main_RecrDev_1985" -0.472267 0.147994 "Main_RecrDev" 1985
"Main_RecrDev_1986" -0.161663 0.171672 "Main_RecrDev" 1986
"Main_RecrDev_1987" 0.355484 0.14335 "Main_RecrDev" 1987
"Main_RecrDev_1988" 0.0190254 0.16701 "Main_RecrDev" 1988
"Main_RecrDev_1989" -0.123875 0.163871 "Main_RecrDev" 1989
"Main_RecrDev_1990" -0.127285 0.173149 "Main_RecrDev" 1990
