id,Yr,Era,SSB,SSB_nofishing
56-CAAL-NZdblnorm-25,1950,VIRG,11425.8,11425.8
56-CAAL-NZdblnorm-25,1951,INIT,11425.8,11425.8
56-CAAL-NZdblnorm-25,1952,TIME,11756.4,11756.4
56-CAAL-NZdblnorm-25,1953,TIME,11859.6,11914.7
56-CAAL-NZdblnorm-25,1954,TIME,10852.7,12089.7
56-CAAL-NZdblnorm-25,1955,TIME,5510.13,12293.3
56-CAAL-NZdblnorm-25,1956,TIME,4575.79,12430.4
56-CAAL-NZdblnorm-25,1957,TIME,4420.43,12454.8
56-CAAL-NZdblnorm-25,1958,TIME,4405.36,12418.4
56-CAAL-NZdblnorm-25,1959,TIME,3491.26,12402.3
56-CAAL-NZdblnorm-25,1960,TIME,3287.35,12448
56-CAAL-NZdblnorm-25,1961,TIME,3172.75,12531.8
56-CAAL-NZdblnorm-25,1962,TIME,2260.36,12600.3
56-CAAL-NZdblnorm-25,1963,TIME,1928.52,12658.3
56-CAAL-NZdblnorm-25,1964,TIME,1581.73,12631.4
56-CAAL-NZdblnorm-25,1965,TIME,1990,12488.6
56-CAAL-NZdblnorm-25,1966,TIME,2030.07,12317.4
56-CAAL-NZdblnorm-25,1967,TIME,1725.26,12153.3
56-CAAL-NZdblnorm-25,1968,TIME,2159.44,11980.5
56-CAAL-NZdblnorm-25,1969,TIME,2681.59,11808.4
56-CAAL-NZdblnorm-25,1970,TIME,3103.05,11683.9
56-CAAL-NZdblnorm-25,1971,TIME,2381,11618.1
56-CAAL-NZdblnorm-25,1972,TIME,1719.62,11537.9
56-CAAL-NZdblnorm-25,1973,TIME,1531.97,11407.6
56-CAAL-NZdblnorm-25,1974,TIME,1471.84,11300.2
56-CAAL-NZdblnorm-25,1975,TIME,1575.28,11258.3
56-CAAL-NZdblnorm-25,1976,TIME,1784.19,11261.4
56-CAAL-NZdblnorm-25,1977,TIME,1862.91,11163.1
56-CAAL-NZdblnorm-25,1978,TIME,2335.13,11017
56-CAAL-NZdblnorm-25,1979,TIME,2104.84,10967.4
56-CAAL-NZdblnorm-25,1980,TIME,2007.97,11058.5
56-CAAL-NZdblnorm-25,1981,TIME,2561.12,11389.2
56-CAAL-NZdblnorm-25,1982,TIME,2154.16,11748.3
56-CAAL-NZdblnorm-25,1983,TIME,1666.94,12000.4
56-CAAL-NZdblnorm-25,1984,TIME,1807.34,11696.9
56-CAAL-NZdblnorm-25,1985,TIME,1815.16,11349.2
56-CAAL-NZdblnorm-25,1986,TIME,1636.97,10926.9
56-CAAL-NZdblnorm-25,1987,TIME,1554.53,10433.5
56-CAAL-NZdblnorm-25,1988,TIME,1430.7,9825.47
56-CAAL-NZdblnorm-25,1989,TIME,1418.35,9754.48
56-CAAL-NZdblnorm-25,1990,TIME,1318.47,10575.6
56-CAAL-NZdblnorm-25,1991,TIME,1379.59,11043.4
56-CAAL-NZdblnorm-25,1992,TIME,1506.46,11001.2
56-CAAL-NZdblnorm-25,1993,TIME,1757.58,10851.6
56-CAAL-NZdblnorm-25,1994,TIME,1908.95,11007.4
56-CAAL-NZdblnorm-25,1995,TIME,1649.22,11556.1
56-CAAL-NZdblnorm-25,1996,TIME,1756.35,12052.4
56-CAAL-NZdblnorm-25,1997,TIME,1833.97,12148.5
56-CAAL-NZdblnorm-25,1998,TIME,2092.12,12362.9
56-CAAL-NZdblnorm-25,1999,TIME,2298.69,13684.8
56-CAAL-NZdblnorm-25,2000,TIME,2146.07,14307.6
56-CAAL-NZdblnorm-25,2001,TIME,2395.04,14813.6
56-CAAL-NZdblnorm-25,2002,TIME,2503.32,14859
56-CAAL-NZdblnorm-25,2003,TIME,2129.39,14049.6
56-CAAL-NZdblnorm-25,2004,TIME,1678.89,13757.4
56-CAAL-NZdblnorm-25,2005,TIME,1322.05,13184.3
56-CAAL-NZdblnorm-25,2006,TIME,1332.93,12625.8
56-CAAL-NZdblnorm-25,2007,TIME,1475.96,12218.6
56-CAAL-NZdblnorm-25,2008,TIME,1535.07,11811.1
56-CAAL-NZdblnorm-25,2009,TIME,1518.92,11682.3
56-CAAL-NZdblnorm-25,2010,TIME,1631.62,11608.5
56-CAAL-NZdblnorm-25,2011,TIME,1566.73,11386.7
56-CAAL-NZdblnorm-25,2012,TIME,1274.7,11006.7
56-CAAL-NZdblnorm-25,2013,TIME,1046.98,10564.8
56-CAAL-NZdblnorm-25,2014,TIME,1127.62,10141.8
56-CAAL-NZdblnorm-25,2015,TIME,965.584,9859.42
56-CAAL-NZdblnorm-25,2016,TIME,863.906,9887.18
56-CAAL-NZdblnorm-25,2017,TIME,895.103,9768.77
56-CAAL-NZdblnorm-25,2018,TIME,1004.99,9688.43
56-CAAL-NZdblnorm-25,2019,TIME,994.567,9735.47
56-CAAL-NZdblnorm-25,2020,TIME,914.059,9711.77
56-CAAL-NZdblnorm-25,2021,TIME,861.789,9488.42
56-CAAL-NZdblnorm-25,2022,TIME,1057.07,9703.95
56-CAAL-NZdblnorm-25,2023,FORE,1544.02,10576.4
