id,Label,Value,Parm_StDev,Phase,Min,Max,Init,Status,Afterbound
57-CAAL-NZdblnorm-5,L_at_Amin_Fem_GP_1,76.6973,6.51639,7,5,100,77.3185,OK,OK
57-CAAL-NZdblnorm-5,L_at_Amax_Fem_GP_1,219.139,2.99433,6,50,600,219.161,OK,OK
57-CAAL-NZdblnorm-5,VonBert_K_Fem_GP_1,0.463891,0.0343406,8,0.01,0.99,0.461432,OK,OK
57-CAAL-NZdblnorm-5,SR_LN(R0),5.07773,0.0261954,1,2,15,5.07803,OK,OK
57-CAAL-NZdblnorm-5,F_fleet_15_YR_1952_s_4,0.000966098,0.000229926,5,0,20,0.05,act,CHECK
57-CAAL-NZdblnorm-5,F_fleet_15_YR_1953_s_1,0.00022274,2.35338e-05,5,0,20,0.05,act,CHECK
57-CAAL-NZdblnorm-5,F_fleet_15_YR_1953_s_3,0.00446683,0.00106104,5,0,20,0.05,act,OK
57-CAAL-NZdblnorm-5,F_fleet_15_YR_1953_s_4,0.476373,0.115856,5,0,20,0.05,act,OK
57-CAAL-NZdblnorm-5,F_fleet_15_YR_1954_s_1,0.0624185,0.00696025,5,0,20,0.05,act,OK
57-CAAL-NZdblnorm-5,F_fleet_15_YR_1954_s_2,0.00225888,0.000250877,5,0,20,0.05,act,OK
57-CAAL-NZdblnorm-5,F_fleet_15_YR_1954_s_3,0.625968,0.153602,5,0,20,0.05,act,OK
57-CAAL-NZdblnorm-5,F_fleet_15_YR_1954_s_4,2.94277,0.788624,5,0,20,0.05,act,OK
57-CAAL-NZdblnorm-5,F_fleet_15_YR_1955_s_1,0.12821,0.0251117,5,0,20,0.05,act,OK
57-CAAL-NZdblnorm-5,F_fleet_15_YR_1955_s_2,0.00805572,0.00148969,5,0,20,0.05,act,OK
57-CAAL-NZdblnorm-5,F_fleet_15_YR_1955_s_3,0.619686,0.173068,5,0,20,0.05,act,OK
57-CAAL-NZdblnorm-5,F_fleet_15_YR_1955_s_4,1.34507,0.386454,5,0,20,0.05,act,OK
57-CAAL-NZdblnorm-5,F_fleet_15_YR_1956_s_1,0.0608934,0.0120376,5,0,20,0.05,act,OK
57-CAAL-NZdblnorm-5,F_fleet_15_YR_1956_s_2,0.0103367,0.00189836,5,0,20,0.05,act,OK
57-CAAL-NZdblnorm-5,F_fleet_15_YR_1956_s_3,0.352045,0.0972622,5,0,20,0.05,act,OK
57-CAAL-NZdblnorm-5,F_fleet_15_YR_1956_s_4,1.23315,0.348229,5,0,20,0.05,act,OK
57-CAAL-NZdblnorm-5,F_fleet_15_YR_1957_s_1,0.018709,0.00353143,5,0,20,0.05,act,OK
57-CAAL-NZdblnorm-5,F_fleet_15_YR_1957_s_2,0.00775437,0.00137181,5,0,20,0.05,act,OK
57-CAAL-NZdblnorm-5,F_fleet_15_YR_1957_s_3,0.264377,0.0721219,5,0,20,0.05,act,OK
57-CAAL-NZdblnorm-5,F_fleet_15_YR_1957_s_4,1.29307,0.362532,5,0,20,0.05,act,OK
57-CAAL-NZdblnorm-5,F_fleet_15_YR_1958_s_1,0.0110369,0.00203705,5,0,20,0.05,act,OK
57-CAAL-NZdblnorm-5,F_fleet_15_YR_1958_s_2,0.0047377,0.000822137,5,0,20,0.05,act,OK
57-CAAL-NZdblnorm-5,F_fleet_15_YR_1958_s_3,0.564037,0.154729,5,0,20,0.05,act,OK
57-CAAL-NZdblnorm-5,F_fleet_15_YR_1958_s_4,2.04802,0.598442,5,0,20,0.05,act,OK
57-CAAL-NZdblnorm-5,F_fleet_15_YR_1959_s_1,0.0552354,0.0117568,5,0,20,0.05,act,OK
57-CAAL-NZdblnorm-5,F_fleet_15_YR_1959_s_2,0.0624283,0.0123928,5,0,20,0.05,act,OK
57-CAAL-NZdblnorm-5,F_fleet_15_YR_1959_s_3,1.03208,0.302055,5,0,20,0.05,act,OK
57-CAAL-NZdblnorm-5,F_fleet_15_YR_1959_s_4,1.3801,0.419517,5,0,20,0.05,act,OK
57-CAAL-NZdblnorm-5,F_fleet_15_YR_1960_s_1,0.0245947,0.00527608,5,0,20,0.05,act,OK
57-CAAL-NZdblnorm-5,F_fleet_15_YR_1960_s_2,0.0801464,0.0158344,5,0,20,0.05,act,OK
57-CAAL-NZdblnorm-5,F_fleet_15_YR_1960_s_3,1.30703,0.383969,5,0,20,0.05,act,OK
57-CAAL-NZdblnorm-5,F_fleet_15_YR_1960_s_4,1.32878,0.405732,5,0,20,0.05,act,OK
57-CAAL-NZdblnorm-5,F_fleet_15_YR_1961_s_1,0.0082082,0.00176893,5,0,20,0.05,act,OK
57-CAAL-NZdblnorm-5,F_fleet_15_YR_1961_s_2,0.0573764,0.0113725,5,0,20,0.05,act,OK
57-CAAL-NZdblnorm-5,F_fleet_15_YR_1961_s_3,1.65365,0.491356,5,0,20,0.05,act,OK
57-CAAL-NZdblnorm-5,F_fleet_15_YR_1961_s_4,2.64445,0.868307,5,0,20,0.05,act,OK
57-CAAL-NZdblnorm-5,F_fleet_15_YR_1962_s_1,0.146534,0.0387343,5,0,20,0.05,act,OK
57-CAAL-NZdblnorm-5,F_fleet_15_YR_1962_s_2,0.10439,0.0249952,5,0,20,0.05,act,OK
57-CAAL-NZdblnorm-5,F_fleet_15_YR_1962_s_3,1.1494,0.362184,5,0,20,0.05,act,OK
57-CAAL-NZdblnorm-5,F_fleet_15_YR_1962_s_4,2.75562,0.924653,5,0,20,0.05,act,OK
57-CAAL-NZdblnorm-5,F_fleet_15_YR_1963_s_1,0.06221,0.0168391,5,0,20,0.05,act,OK
57-CAAL-NZdblnorm-5,F_fleet_15_YR_1963_s_2,0.175014,0.0432063,5,0,20,0.05,act,OK
57-CAAL-NZdblnorm-5,F_fleet_15_YR_1963_s_3,0.463967,0.14768,5,0,20,0.05,act,OK
57-CAAL-NZdblnorm-5,F_fleet_15_YR_1963_s_4,3.52027,1.19969,5,0,20,0.05,act,OK
57-CAAL-NZdblnorm-5,F_fleet_15_YR_1964_s_1,0.237943,0.0712656,5,0,20,0.05,act,OK
57-CAAL-NZdblnorm-5,F_fleet_15_YR_1964_s_2,0.0997312,0.0273661,5,0,20,0.05,act,OK
57-CAAL-NZdblnorm-5,F_fleet_15_YR_1964_s_3,0.703712,0.239671,5,0,20,0.05,act,OK
57-CAAL-NZdblnorm-5,F_fleet_15_YR_1964_s_4,1.1246,0.389503,5,0,20,0.05,act,OK
57-CAAL-NZdblnorm-5,F_fleet_15_YR_1965_s_1,0.0920643,0.0244033,5,0,20,0.05,act,OK
57-CAAL-NZdblnorm-5,F_fleet_15_YR_1965_s_2,0.0855166,0.0213425,5,0,20,0.05,act,OK
57-CAAL-NZdblnorm-5,F_fleet_15_YR_1965_s_3,0.962119,0.31993,5,0,20,0.05,act,OK
57-CAAL-NZdblnorm-5,F_fleet_15_YR_1965_s_4,1.24412,0.433807,5,0,20,0.05,act,OK
57-CAAL-NZdblnorm-5,F_fleet_15_YR_1966_s_1,0.167923,0.0465592,5,0,20,0.05,act,OK
57-CAAL-NZdblnorm-5,F_fleet_15_YR_1966_s_2,0.328187,0.0879831,5,0,20,0.05,act,OK
57-CAAL-NZdblnorm-5,F_fleet_15_YR_1966_s_3,1.47352,0.526597,5,0,20,0.05,act,OK
57-CAAL-NZdblnorm-5,F_fleet_15_YR_1966_s_4,1.67823,0.649204,5,0,20,0.05,act,OK
57-CAAL-NZdblnorm-5,F_fleet_15_YR_1967_s_1,0.0969892,0.0312455,5,0,20,0.05,act,OK
57-CAAL-NZdblnorm-5,F_fleet_15_YR_1967_s_2,0.0725322,0.0215506,5,0,20,0.05,act,OK
57-CAAL-NZdblnorm-5,F_fleet_15_YR_1967_s_3,0.79778,0.28857,5,0,20,0.05,act,OK
