id,Year,B.Bmsy,F.Fmsy
57-CAAL-NZdblnorm-5,1952,4.65711,0.0153607
57-CAAL-NZdblnorm-5,1953,4.6972,0.183474
57-CAAL-NZdblnorm-5,1954,4.29907,1.27137
57-CAAL-NZdblnorm-5,1955,2.19226,0.814986
57-CAAL-NZdblnorm-5,1956,1.82332,0.674383
57-CAAL-NZdblnorm-5,1957,1.76104,0.615519
57-CAAL-NZdblnorm-5,1958,1.75178,1.07532
57-CAAL-NZdblnorm-5,1959,1.39273,0.963372
57-CAAL-NZdblnorm-5,1960,1.30883,1.02818
57-CAAL-NZdblnorm-5,1961,1.26193,1.7339
57-CAAL-NZdblnorm-5,1962,0.899712,1.6636
57-CAAL-NZdblnorm-5,1963,0.769274,1.96373
57-CAAL-NZdblnorm-5,1964,0.630515,1.07958
57-CAAL-NZdblnorm-5,1965,0.791813,1.23794
57-CAAL-NZdblnorm-5,1966,0.809403,1.61672
57-CAAL-NZdblnorm-5,1967,0.688236,0.846485
57-CAAL-NZdblnorm-5,1968,0.862489,0.641599
57-CAAL-NZdblnorm-5,1969,1.06883,0.595709
57-CAAL-NZdblnorm-5,1970,1.2359,1.35148
57-CAAL-NZdblnorm-5,1971,0.952299,1.9419
57-CAAL-NZdblnorm-5,1972,0.686407,2.09459
57-CAAL-NZdblnorm-5,1973,0.610717,2.05426
57-CAAL-NZdblnorm-5,1974,0.586939,1.79526
57-CAAL-NZdblnorm-5,1975,0.628992,1.33065
57-CAAL-NZdblnorm-5,1976,0.709953,1.23977
57-CAAL-NZdblnorm-5,1977,0.742457,0.628765
57-CAAL-NZdblnorm-5,1978,0.929353,1.15995
57-CAAL-NZdblnorm-5,1979,0.84465,1.24112
57-CAAL-NZdblnorm-5,1980,0.802855,0.841892
57-CAAL-NZdblnorm-5,1981,1.02046,1.56565
57-CAAL-NZdblnorm-5,1982,0.864109,2.01805
57-CAAL-NZdblnorm-5,1983,0.668923,1.3268
57-CAAL-NZdblnorm-5,1984,0.723944,1.37567
57-CAAL-NZdblnorm-5,1985,0.727397,1.32393
57-CAAL-NZdblnorm-5,1986,0.657709,1.2402
57-CAAL-NZdblnorm-5,1987,0.625101,1.21874
57-CAAL-NZdblnorm-5,1988,0.576455,1.60071
57-CAAL-NZdblnorm-5,1989,0.572931,2.46588
57-CAAL-NZdblnorm-5,1990,0.533398,1.71495
57-CAAL-NZdblnorm-5,1991,0.556851,1.31576
57-CAAL-NZdblnorm-5,1992,0.608608,0.965978
57-CAAL-NZdblnorm-5,1993,0.71196,1.20549
57-CAAL-NZdblnorm-5,1994,0.774388,1.95077
57-CAAL-NZdblnorm-5,1995,0.672258,1.80729
57-CAAL-NZdblnorm-5,1996,0.712172,1.55216
57-CAAL-NZdblnorm-5,1997,0.744587,1.37816
57-CAAL-NZdblnorm-5,1998,0.850238,1.88967
57-CAAL-NZdblnorm-5,1999,0.93265,1.63065
57-CAAL-NZdblnorm-5,2000,0.874848,1.31291
57-CAAL-NZdblnorm-5,2001,0.974136,1.13261
57-CAAL-NZdblnorm-5,2002,1.013,1.21765
57-CAAL-NZdblnorm-5,2003,0.860187,1.86927
57-CAAL-NZdblnorm-5,2004,0.678704,1.86031
57-CAAL-NZdblnorm-5,2005,0.538266,1.70797
57-CAAL-NZdblnorm-5,2006,0.545889,1.4229
57-CAAL-NZdblnorm-5,2007,0.604413,1.26424
57-CAAL-NZdblnorm-5,2008,0.626898,1.45521
57-CAAL-NZdblnorm-5,2009,0.620022,1.27161
57-CAAL-NZdblnorm-5,2010,0.664011,1.29119
57-CAAL-NZdblnorm-5,2011,0.637137,1.60413
57-CAAL-NZdblnorm-5,2012,0.519327,1.79779
57-CAAL-NZdblnorm-5,2013,0.426752,1.42893
57-CAAL-NZdblnorm-5,2014,0.457388,1.76098
57-CAAL-NZdblnorm-5,2015,0.392957,1.93119
57-CAAL-NZdblnorm-5,2016,0.351673,1.77132
57-CAAL-NZdblnorm-5,2017,0.363617,1.41094
57-CAAL-NZdblnorm-5,2018,0.408567,1.57191
57-CAAL-NZdblnorm-5,2019,0.403267,1.55083
57-CAAL-NZdblnorm-5,2020,0.371595,1.48868
57-CAAL-NZdblnorm-5,2021,0.353653,1.60048
57-CAAL-NZdblnorm-5,2022,0.433113,1.06582
57-CAAL-NZdblnorm-5,2023,0.632062,1.06582
