id,type,yr,Value,StdDev
59-CAAL-NZdblnorm-99,f,1952,0.0142276,0.00201408
59-CAAL-NZdblnorm-99,f,1953,0.202254,0.0467992
59-CAAL-NZdblnorm-99,f,1954,1.38961,0.321921
59-CAAL-NZdblnorm-99,f,1955,0.862952,0.188467
59-CAAL-NZdblnorm-99,f,1956,0.703854,0.15237
59-CAAL-NZdblnorm-99,f,1957,0.639987,0.146788
59-CAAL-NZdblnorm-99,f,1958,1.1101,0.248399
59-CAAL-NZdblnorm-99,f,1959,0.98622,0.22723
59-CAAL-NZdblnorm-99,f,1960,1.04628,0.242961
59-CAAL-NZdblnorm-99,f,1961,1.7483,0.420755
59-CAAL-NZdblnorm-99,f,1962,1.6585,0.417317
59-CAAL-NZdblnorm-99,f,1963,1.91636,0.497096
59-CAAL-NZdblnorm-99,f,1964,1.04172,0.269932
59-CAAL-NZdblnorm-99,f,1965,1.20267,0.297777
59-CAAL-NZdblnorm-99,f,1966,1.56553,0.445768
59-CAAL-NZdblnorm-99,f,1967,0.817254,0.212012
59-CAAL-NZdblnorm-99,f,1968,0.61769,0.144381
59-CAAL-NZdblnorm-99,f,1969,0.570533,0.124036
59-CAAL-NZdblnorm-99,f,1970,1.32067,0.278826
59-CAAL-NZdblnorm-99,f,1971,1.83523,0.437169
59-CAAL-NZdblnorm-99,f,1972,1.93185,0.506249
59-CAAL-NZdblnorm-99,f,1973,1.86437,0.500812
59-CAAL-NZdblnorm-99,f,1974,1.58807,0.433176
59-CAAL-NZdblnorm-99,f,1975,1.19215,0.293394
59-CAAL-NZdblnorm-99,f,1976,1.09865,0.260643
59-CAAL-NZdblnorm-99,f,1977,0.5688,0.11986
59-CAAL-NZdblnorm-99,f,1978,1.07781,0.188306
59-CAAL-NZdblnorm-99,f,1979,1.13167,0.2232
59-CAAL-NZdblnorm-99,f,1980,0.762268,0.138319
59-CAAL-NZdblnorm-99,f,1981,1.45333,0.233395
59-CAAL-NZdblnorm-99,f,1982,1.84051,0.353595
59-CAAL-NZdblnorm-99,f,1983,1.17364,0.246052
59-CAAL-NZdblnorm-99,f,1984,1.24132,0.237534
59-CAAL-NZdblnorm-99,f,1985,1.2249,0.224781
59-CAAL-NZdblnorm-99,f,1986,1.13603,0.208395
59-CAAL-NZdblnorm-99,f,1987,1.12156,0.221209
59-CAAL-NZdblnorm-99,f,1988,1.46669,0.314768
59-CAAL-NZdblnorm-99,f,1989,2.23032,0.488595
59-CAAL-NZdblnorm-99,f,1990,1.559,0.346923
59-CAAL-NZdblnorm-99,f,1991,1.19102,0.263089
59-CAAL-NZdblnorm-99,f,1992,0.883187,0.178411
59-CAAL-NZdblnorm-99,f,1993,1.08783,0.230359
59-CAAL-NZdblnorm-99,f,1994,1.78624,0.376212
59-CAAL-NZdblnorm-99,f,1995,1.61233,0.357873
59-CAAL-NZdblnorm-99,f,1996,1.41154,0.287023
59-CAAL-NZdblnorm-99,f,1997,1.27107,0.242912
59-CAAL-NZdblnorm-99,f,1998,1.76999,0.322896
59-CAAL-NZdblnorm-99,f,1999,1.52841,0.279732
59-CAAL-NZdblnorm-99,f,2000,1.23969,0.223006
59-CAAL-NZdblnorm-99,f,2001,1.08112,0.163597
59-CAAL-NZdblnorm-99,f,2002,1.1829,0.161586
59-CAAL-NZdblnorm-99,f,2003,1.80664,0.263869
59-CAAL-NZdblnorm-99,f,2004,1.77068,0.294891
59-CAAL-NZdblnorm-99,f,2005,1.58711,0.306496
59-CAAL-NZdblnorm-99,f,2006,1.31842,0.256264
59-CAAL-NZdblnorm-99,f,2007,1.17612,0.22741
59-CAAL-NZdblnorm-99,f,2008,1.36968,0.265181
59-CAAL-NZdblnorm-99,f,2009,1.18247,0.207401
59-CAAL-NZdblnorm-99,f,2010,1.21347,0.197304
59-CAAL-NZdblnorm-99,f,2011,1.52055,0.243486
59-CAAL-NZdblnorm-99,f,2012,1.6945,0.285789
59-CAAL-NZdblnorm-99,f,2013,1.31117,0.230776
59-CAAL-NZdblnorm-99,f,2014,1.67126,0.255296
59-CAAL-NZdblnorm-99,f,2015,1.80064,0.32018
59-CAAL-NZdblnorm-99,f,2016,1.59826,0.336566
59-CAAL-NZdblnorm-99,f,2017,1.30276,0.254681
59-CAAL-NZdblnorm-99,f,2018,1.46205,0.274007
59-CAAL-NZdblnorm-99,f,2019,1.44612,0.296081
59-CAAL-NZdblnorm-99,f,2020,1.37807,0.328676
59-CAAL-NZdblnorm-99,f,2021,1.42731,0.420316
59-CAAL-NZdblnorm-99,f,2022,0.952903,0.300418
