id,Yr,Era,SSB,SSB_nofishing
62-CAAL-NZdblnormV2-5,1950,VIRG,11218.8,11218.8
62-CAAL-NZdblnormV2-5,1951,INIT,11218.8,11218.8
62-CAAL-NZdblnormV2-5,1952,TIME,11376.3,11376.3
62-CAAL-NZdblnormV2-5,1953,TIME,11574.8,11632.3
62-CAAL-NZdblnormV2-5,1954,TIME,10617.9,11871.7
62-CAAL-NZdblnormV2-5,1955,TIME,5293.06,12080.3
62-CAAL-NZdblnormV2-5,1956,TIME,4328.58,12200.9
62-CAAL-NZdblnormV2-5,1957,TIME,4177.85,12219.5
62-CAAL-NZdblnormV2-5,1958,TIME,4269.73,12178.8
62-CAAL-NZdblnormV2-5,1959,TIME,3514.67,12149.4
62-CAAL-NZdblnormV2-5,1960,TIME,3317.38,12171.6
62-CAAL-NZdblnormV2-5,1961,TIME,3137.91,12233.2
62-CAAL-NZdblnormV2-5,1962,TIME,2293.89,12305.4
62-CAAL-NZdblnormV2-5,1963,TIME,2018.29,12362
62-CAAL-NZdblnormV2-5,1964,TIME,1706.92,12343.5
62-CAAL-NZdblnormV2-5,1965,TIME,2178.58,12238
62-CAAL-NZdblnormV2-5,1966,TIME,2327,12095.2
62-CAAL-NZdblnormV2-5,1967,TIME,2088.02,11945.1
62-CAAL-NZdblnormV2-5,1968,TIME,2415.69,11798.7
62-CAAL-NZdblnormV2-5,1969,TIME,2818.99,11667.7
62-CAAL-NZdblnormV2-5,1970,TIME,3214.07,11576
62-CAAL-NZdblnormV2-5,1971,TIME,2458.23,11517.1
62-CAAL-NZdblnormV2-5,1972,TIME,1721.82,11445.7
62-CAAL-NZdblnormV2-5,1973,TIME,1514.81,11366.4
62-CAAL-NZdblnormV2-5,1974,TIME,1599.18,11327.7
62-CAAL-NZdblnormV2-5,1975,TIME,1898.93,11318.8
62-CAAL-NZdblnormV2-5,1976,TIME,2168.66,11268.1
62-CAAL-NZdblnormV2-5,1977,TIME,2203.97,11117
62-CAAL-NZdblnormV2-5,1978,TIME,2557.06,10948.8
62-CAAL-NZdblnormV2-5,1979,TIME,2203.44,10894.7
62-CAAL-NZdblnormV2-5,1980,TIME,2118.42,11041.5
62-CAAL-NZdblnormV2-5,1981,TIME,2615.23,11395.3
62-CAAL-NZdblnormV2-5,1982,TIME,2251.22,11771.2
62-CAAL-NZdblnormV2-5,1983,TIME,1804.91,11968.4
62-CAAL-NZdblnormV2-5,1984,TIME,1973.91,11820.3
62-CAAL-NZdblnormV2-5,1985,TIME,1956.72,11519.8
62-CAAL-NZdblnormV2-5,1986,TIME,1790.69,11040
62-CAAL-NZdblnormV2-5,1987,TIME,1646.86,10410.3
62-CAAL-NZdblnormV2-5,1988,TIME,1566.83,9836.42
62-CAAL-NZdblnormV2-5,1989,TIME,1612.58,9779.06
62-CAAL-NZdblnormV2-5,1990,TIME,1483.45,10356
62-CAAL-NZdblnormV2-5,1991,TIME,1532.65,10713.2
62-CAAL-NZdblnormV2-5,1992,TIME,1650.45,10684.9
62-CAAL-NZdblnormV2-5,1993,TIME,1953.33,10635.1
62-CAAL-NZdblnormV2-5,1994,TIME,2158.72,10893.1
62-CAAL-NZdblnormV2-5,1995,TIME,1779.08,11402.9
62-CAAL-NZdblnormV2-5,1996,TIME,1696.85,11770.4
62-CAAL-NZdblnormV2-5,1997,TIME,1695.21,11835.4
62-CAAL-NZdblnormV2-5,1998,TIME,2021.19,12075.8
62-CAAL-NZdblnormV2-5,1999,TIME,2180.1,13046.3
62-CAAL-NZdblnormV2-5,2000,TIME,2107.26,13786.3
62-CAAL-NZdblnormV2-5,2001,TIME,2272.16,14450.3
62-CAAL-NZdblnormV2-5,2002,TIME,2299.93,14667.5
62-CAAL-NZdblnormV2-5,2003,TIME,2022.24,14183.1
62-CAAL-NZdblnormV2-5,2004,TIME,1587.21,13914.6
62-CAAL-NZdblnormV2-5,2005,TIME,1309.93,13419
62-CAAL-NZdblnormV2-5,2006,TIME,1319.41,12841.2
62-CAAL-NZdblnormV2-5,2007,TIME,1476.32,12269.9
62-CAAL-NZdblnormV2-5,2008,TIME,1594.55,11708.7
62-CAAL-NZdblnormV2-5,2009,TIME,1553.28,11466.1
62-CAAL-NZdblnormV2-5,2010,TIME,1616.45,11397.9
62-CAAL-NZdblnormV2-5,2011,TIME,1539.11,11290.6
62-CAAL-NZdblnormV2-5,2012,TIME,1253.22,11006
62-CAAL-NZdblnormV2-5,2013,TIME,1023.31,10591.9
62-CAAL-NZdblnormV2-5,2014,TIME,1088,10147
62-CAAL-NZdblnormV2-5,2015,TIME,939.449,9755.63
62-CAAL-NZdblnormV2-5,2016,TIME,857.328,9524.05
62-CAAL-NZdblnormV2-5,2017,TIME,912.717,9351.61
62-CAAL-NZdblnormV2-5,2018,TIME,1023.56,9287.42
62-CAAL-NZdblnormV2-5,2019,TIME,973.539,9255.7
62-CAAL-NZdblnormV2-5,2020,TIME,873.137,9175.87
62-CAAL-NZdblnormV2-5,2021,TIME,837.782,9086.07
62-CAAL-NZdblnormV2-5,2022,TIME,1063.47,9412.33
62-CAAL-NZdblnormV2-5,2023,FORE,1571.72,10273
