id,type,yr,Value,StdDev
62-CAAL-NZdblnormV2-5,f,1952,0.0162675,0.00237197
62-CAAL-NZdblnormV2-5,f,1953,0.192302,0.0436377
62-CAAL-NZdblnormV2-5,f,1954,1.3545,0.311591
62-CAAL-NZdblnormV2-5,f,1955,0.888569,0.197666
62-CAAL-NZdblnormV2-5,f,1956,0.742268,0.16414
62-CAAL-NZdblnormV2-5,f,1957,0.668111,0.154863
62-CAAL-NZdblnormV2-5,f,1958,1.13409,0.259648
62-CAAL-NZdblnormV2-5,f,1959,1.01386,0.243688
62-CAAL-NZdblnormV2-5,f,1960,1.09995,0.273311
62-CAAL-NZdblnormV2-5,f,1961,1.83229,0.473162
62-CAAL-NZdblnormV2-5,f,1962,1.73946,0.464123
62-CAAL-NZdblnormV2-5,f,1963,2.04723,0.550122
62-CAAL-NZdblnormV2-5,f,1964,1.09785,0.281691
62-CAAL-NZdblnormV2-5,f,1965,1.19831,0.278198
62-CAAL-NZdblnormV2-5,f,1966,1.50236,0.381612
62-CAAL-NZdblnormV2-5,f,1967,0.802842,0.194082
62-CAAL-NZdblnormV2-5,f,1968,0.643663,0.146528
62-CAAL-NZdblnormV2-5,f,1969,0.619081,0.135006
62-CAAL-NZdblnormV2-5,f,1970,1.39706,0.294929
62-CAAL-NZdblnormV2-5,f,1971,2.08771,0.53838
62-CAAL-NZdblnormV2-5,f,1972,2.36495,0.699229
62-CAAL-NZdblnormV2-5,f,1973,2.24064,0.641965
62-CAAL-NZdblnormV2-5,f,1974,1.78706,0.47818
62-CAAL-NZdblnormV2-5,f,1975,1.21867,0.272235
62-CAAL-NZdblnormV2-5,f,1976,1.14371,0.254042
62-CAAL-NZdblnormV2-5,f,1977,0.59129,0.114679
62-CAAL-NZdblnormV2-5,f,1978,1.12016,0.203955
62-CAAL-NZdblnormV2-5,f,1979,1.25379,0.256326
62-CAAL-NZdblnormV2-5,f,1980,0.875185,0.16464
62-CAAL-NZdblnormV2-5,f,1981,1.63038,0.277726
62-CAAL-NZdblnormV2-5,f,1982,2.09287,0.406907
62-CAAL-NZdblnormV2-5,f,1983,1.34699,0.278681
62-CAAL-NZdblnormV2-5,f,1984,1.38968,0.267597
62-CAAL-NZdblnormV2-5,f,1985,1.30979,0.241598
62-CAAL-NZdblnormV2-5,f,1986,1.23679,0.243043
62-CAAL-NZdblnormV2-5,f,1987,1.19842,0.256798
62-CAAL-NZdblnormV2-5,f,1988,1.55673,0.339706
62-CAAL-NZdblnormV2-5,f,1989,2.52331,0.517206
62-CAAL-NZdblnormV2-5,f,1990,1.7184,0.348797
62-CAAL-NZdblnormV2-5,f,1991,1.31273,0.278549
62-CAAL-NZdblnormV2-5,f,1992,0.93497,0.187219
62-CAAL-NZdblnormV2-5,f,1993,1.19035,0.257223
62-CAAL-NZdblnormV2-5,f,1994,1.98201,0.402596
62-CAAL-NZdblnormV2-5,f,1995,2.00539,0.456684
62-CAAL-NZdblnormV2-5,f,1996,1.81407,0.392342
62-CAAL-NZdblnormV2-5,f,1997,1.5883,0.320039
62-CAAL-NZdblnormV2-5,f,1998,2.171,0.396533
62-CAAL-NZdblnormV2-5,f,1999,1.76439,0.320009
62-CAAL-NZdblnormV2-5,f,2000,1.42632,0.268272
62-CAAL-NZdblnormV2-5,f,2001,1.21506,0.205236
62-CAAL-NZdblnormV2-5,f,2002,1.25331,0.19616
62-CAAL-NZdblnormV2-5,f,2003,2.02195,0.320748
62-CAAL-NZdblnormV2-5,f,2004,1.96579,0.341642
62-CAAL-NZdblnormV2-5,f,2005,1.83961,0.35034
62-CAAL-NZdblnormV2-5,f,2006,1.50708,0.294241
62-CAAL-NZdblnormV2-5,f,2007,1.31136,0.24888
62-CAAL-NZdblnormV2-5,f,2008,1.48581,0.289681
62-CAAL-NZdblnormV2-5,f,2009,1.31123,0.244349
62-CAAL-NZdblnormV2-5,f,2010,1.35181,0.238415
62-CAAL-NZdblnormV2-5,f,2011,1.67808,0.28733
62-CAAL-NZdblnormV2-5,f,2012,1.89974,0.3399
62-CAAL-NZdblnormV2-5,f,2013,1.55434,0.291057
62-CAAL-NZdblnormV2-5,f,2014,1.83908,0.307713
62-CAAL-NZdblnormV2-5,f,2015,2.05125,0.379887
62-CAAL-NZdblnormV2-5,f,2016,1.91761,0.398809
62-CAAL-NZdblnormV2-5,f,2017,1.4619,0.280436
62-CAAL-NZdblnormV2-5,f,2018,1.64795,0.307039
62-CAAL-NZdblnormV2-5,f,2019,1.66193,0.342866
62-CAAL-NZdblnormV2-5,f,2020,1.58192,0.389159
62-CAAL-NZdblnormV2-5,f,2021,1.75936,0.507453
62-CAAL-NZdblnormV2-5,f,2022,1.14944,0.339881
