id,sex,age,m,len,len_sd,wt,mat,mat_fec,sr
63-CAAL-NZdblnormV2-75,1,0,0.707867,5,9.9314,0.00608448,5.609e-15,0,
63-CAAL-NZdblnormV2-75,1,1,0.4718,64.8253,10.2431,1.87518,8.10758e-10,3.92719e-09,
63-CAAL-NZdblnormV2-75,1,2,0.4007,108.769,10.472,11.1951,5.21468e-06,0.000110515,
63-CAAL-NZdblnormV2-75,1,3,0.3766,141.046,10.6401,27.9576,0.00294753,0.13366,
63-CAAL-NZdblnormV2-75,1,4,0.3669,164.754,10.7636,48.4749,0.119564,7.62465,
63-CAAL-NZdblnormV2-75,1,5,0.3629,182.169,10.8544,69.2599,0.527595,41.0641,
63-CAAL-NZdblnormV2-75,1,6,0.3612,194.96,10.921,88.1627,0.836034,76.8537,
63-CAAL-NZdblnormV2-75,1,7,0.3605,204.356,10.9699,104.239,0.94783,100.246,
63-CAAL-NZdblnormV2-75,1,8,0.3602,211.257,11.0059,117.325,0.981206,115.764,
63-CAAL-NZdblnormV2-75,1,9,0.36,216.327,11.0323,127.665,0.991808,126.939,
63-CAAL-NZdblnormV2-75,1,10,0.36,223.291,11.0517,142.919,0.99761,142.685,
63-CAAL-NZdblnormV2-75,1,0.25,0.64885,21.7286,10.0185,0.0680092,1.49513e-13,0,
63-CAAL-NZdblnormV2-75,1,1.25,0.454025,77.1129,10.3071,3.38901,9.41342e-09,3.92719e-09,
63-CAAL-NZdblnormV2-75,1,2.25,0.394675,117.794,10.519,14.811,3.15338e-05,0.000110515,
63-CAAL-NZdblnormV2-75,1,3.25,0.374175,147.675,10.6747,32.8906,0.00968467,0.13366,
63-CAAL-NZdblnormV2-75,1,4.25,0.3659,169.624,10.789,53.7541,0.202919,7.62465,
63-CAAL-NZdblnormV2-75,1,5.25,0.362475,185.746,10.873,74.2164,0.627607,41.0641,
63-CAAL-NZdblnormV2-75,1,6.25,0.361025,197.588,10.9347,92.4632,0.877254,76.8537,
63-CAAL-NZdblnormV2-75,1,7.25,0.360425,206.286,10.98,107.786,0.960227,100.246,
63-CAAL-NZdblnormV2-75,1,8.25,0.36015,212.675,11.0133,120.153,0.985008,115.764,
63-CAAL-NZdblnormV2-75,1,9.25,0.36,217.368,11.0377,129.868,0.993142,126.939,
63-CAAL-NZdblnormV2-75,1,10.25,0.36,223.815,11.0517,144.117,0.99783,142.685,
63-CAAL-NZdblnormV2-75,1,0.5,0.589834,37.2153,10.0992,0.309647,3.28418e-12,0,
63-CAAL-NZdblnormV2-75,1,1.5,0.43625,88.4883,10.3663,5.45022,9.11204e-08,3.92719e-09,
63-CAAL-NZdblnormV2-75,1,2.5,0.38865,126.15,10.5625,18.8523,0.000165786,0.000110515,
63-CAAL-NZdblnormV2-75,1,3.5,0.37175,153.813,10.7066,37.9926,0.0265752,0.13366,
63-CAAL-NZdblnormV2-75,1,4.5,0.3649,174.132,10.8125,59.0011,0.305604,7.62465,
63-CAAL-NZdblnormV2-75,1,5.5,0.36205,189.057,10.8902,79.029,0.712816,41.0641,
63-CAAL-NZdblnormV2-75,1,6.5,0.36085,200.02,10.9474,96.5778,0.90812,76.8537,
63-CAAL-NZdblnormV2-75,1,7.5,0.36035,208.072,10.9893,111.147,0.969372,100.246,
63-CAAL-NZdblnormV2-75,1,8.5,0.3601,213.987,11.0201,122.815,0.987892,115.764,
63-CAAL-NZdblnormV2-75,1,9.5,0.36,218.332,11.0427,131.931,0.994193,126.939,
63-CAAL-NZdblnormV2-75,1,10.5,0.36,224.301,11.0517,145.233,0.998016,142.685,
63-CAAL-NZdblnormV2-75,1,0.75,0.530817,51.5525,10.1739,0.873627,5.73756e-11,0,
63-CAAL-NZdblnormV2-75,1,1.75,0.418475,99.0193,10.4212,8.06042,7.45308e-07,3.92719e-09,
63-CAAL-NZdblnormV2-75,1,2.75,0.382625,133.885,10.6028,23.2564,0.000755627,0.000110515,
63-CAAL-NZdblnormV2-75,1,3.75,0.369325,159.495,10.7362,43.2052,0.0611302,0.13366,
63-CAAL-NZdblnormV2-75,1,4.75,0.3639,178.305,10.8342,64.1798,0.417456,7.62465,
63-CAAL-NZdblnormV2-75,1,5.75,0.361625,192.123,10.9062,83.6817,0.78195,41.0641,
63-CAAL-NZdblnormV2-75,1,6.75,0.360675,202.272,10.9591,100.503,0.930984,76.8537,
63-CAAL-NZdblnormV2-75,1,7.75,0.360275,209.726,10.9979,114.325,0.976149,100.246,
63-CAAL-NZdblnormV2-75,1,8.75,0.36005,215.202,11.0264,125.317,0.9901,115.764,
63-CAAL-NZdblnormV2-75,1,9.75,0.36,219.224,11.0474,133.862,0.99503,126.939,
63-CAAL-NZdblnormV2-75,1,10.75,0.36,224.75,11.0517,146.272,0.998175,142.685,
