id,Year,B.Bmsy,F.Fmsy
63-CAAL-NZdblnormV2-75,1952,4.70823,0.0156754
63-CAAL-NZdblnormV2-75,1953,4.7822,0.217726
63-CAAL-NZdblnormV2-75,1954,4.41181,1.49159
63-CAAL-NZdblnormV2-75,1955,2.32388,0.938382
63-CAAL-NZdblnormV2-75,1956,1.89081,0.770306
63-CAAL-NZdblnormV2-75,1957,1.80035,0.689945
63-CAAL-NZdblnormV2-75,1958,1.82347,1.15832
63-CAAL-NZdblnormV2-75,1959,1.51422,1.0237
63-CAAL-NZdblnormV2-75,1960,1.4348,1.10174
63-CAAL-NZdblnormV2-75,1961,1.36333,1.80672
63-CAAL-NZdblnormV2-75,1962,1.01272,1.69275
63-CAAL-NZdblnormV2-75,1963,0.891161,1.9351
63-CAAL-NZdblnormV2-75,1964,0.757699,1.02479
63-CAAL-NZdblnormV2-75,1965,0.954903,1.13231
63-CAAL-NZdblnormV2-75,1966,1.02417,1.41854
63-CAAL-NZdblnormV2-75,1967,0.935827,0.755353
63-CAAL-NZdblnormV2-75,1968,1.07761,0.601295
63-CAAL-NZdblnormV2-75,1969,1.25001,0.573361
63-CAAL-NZdblnormV2-75,1970,1.41695,1.32743
63-CAAL-NZdblnormV2-75,1971,1.11104,1.86862
63-CAAL-NZdblnormV2-75,1972,0.805291,2.0291
63-CAAL-NZdblnormV2-75,1973,0.718867,1.89081
63-CAAL-NZdblnormV2-75,1974,0.757641,1.48537
63-CAAL-NZdblnormV2-75,1975,0.886234,1.04881
63-CAAL-NZdblnormV2-75,1976,1.00621,0.97324
63-CAAL-NZdblnormV2-75,1977,1.03467,0.51699
63-CAAL-NZdblnormV2-75,1978,1.20283,0.995315
63-CAAL-NZdblnormV2-75,1979,1.08062,1.07289
63-CAAL-NZdblnormV2-75,1980,1.0624,0.73819
63-CAAL-NZdblnormV2-75,1981,1.26943,1.40898
63-CAAL-NZdblnormV2-75,1982,1.1008,1.76012
63-CAAL-NZdblnormV2-75,1983,0.90308,1.08764
63-CAAL-NZdblnormV2-75,1984,0.976008,1.14724
63-CAAL-NZdblnormV2-75,1985,0.977324,1.10486
63-CAAL-NZdblnormV2-75,1986,0.910917,1.01627
63-CAAL-NZdblnormV2-75,1987,0.842857,0.995726
63-CAAL-NZdblnormV2-75,1988,0.788725,1.32859
63-CAAL-NZdblnormV2-75,1989,0.775138,2.16745
63-CAAL-NZdblnormV2-75,1990,0.706816,1.46484
63-CAAL-NZdblnormV2-75,1991,0.748747,1.08816
63-CAAL-NZdblnormV2-75,1992,0.819924,0.789153
63-CAAL-NZdblnormV2-75,1993,0.947442,1.00263
63-CAAL-NZdblnormV2-75,1994,1.01082,1.75196
63-CAAL-NZdblnormV2-75,1995,0.821114,1.7276
63-CAAL-NZdblnormV2-75,1996,0.772295,1.59533
63-CAAL-NZdblnormV2-75,1997,0.768739,1.41531
63-CAAL-NZdblnormV2-75,1998,0.908123,1.97696
63-CAAL-NZdblnormV2-75,1999,0.985994,1.60674
63-CAAL-NZdblnormV2-75,2000,0.969178,1.30893
63-CAAL-NZdblnormV2-75,2001,1.04437,1.13705
63-CAAL-NZdblnormV2-75,2002,1.04394,1.20042
63-CAAL-NZdblnormV2-75,2003,0.905615,1.93816
63-CAAL-NZdblnormV2-75,2004,0.703584,1.84424
63-CAAL-NZdblnormV2-75,2005,0.589181,1.67199
63-CAAL-NZdblnormV2-75,2006,0.603567,1.35283
63-CAAL-NZdblnormV2-75,2007,0.678187,1.17633
63-CAAL-NZdblnormV2-75,2008,0.736348,1.35243
63-CAAL-NZdblnormV2-75,2009,0.724691,1.17271
63-CAAL-NZdblnormV2-75,2010,0.744297,1.22529
63-CAAL-NZdblnormV2-75,2011,0.700366,1.54862
63-CAAL-NZdblnormV2-75,2012,0.568886,1.75101
63-CAAL-NZdblnormV2-75,2013,0.462848,1.39004
63-CAAL-NZdblnormV2-75,2014,0.484905,1.71802
63-CAAL-NZdblnormV2-75,2015,0.42104,1.88143
63-CAAL-NZdblnormV2-75,2016,0.387247,1.6968
63-CAAL-NZdblnormV2-75,2017,0.411208,1.34253
63-CAAL-NZdblnormV2-75,2018,0.456993,1.52944
63-CAAL-NZdblnormV2-75,2019,0.434931,1.55193
63-CAAL-NZdblnormV2-75,2020,0.393605,1.4686
63-CAAL-NZdblnormV2-75,2021,0.3818,1.57669
63-CAAL-NZdblnormV2-75,2022,0.482191,1.04311
63-CAAL-NZdblnormV2-75,2023,0.703796,1.04311
