"Label" "Value" "StdDev" "(Val-1.0)/Stddev" "CumNorm"
"SSB_Virgin" "SSB_Virgin" 269472000 0 NA NA
"SSB_Initial" "SSB_Initial" 269472000 0 NA NA
"SSB_1952" "SSB_1952" 295569000 0 NA NA
"SSB_1953" "SSB_1953" 289385000 0 NA NA
"SSB_1954" "SSB_1954" 282113000 0 NA NA
"SSB_1955" "SSB_1955" 277016000 0 NA NA
"SSB_1956" "SSB_1956" 272617000 0 NA NA
"SSB_1957" "SSB_1957" 268403000 0 NA NA
"SSB_1958" "SSB_1958" 263579000 0 NA NA
"SSB_1959" "SSB_1959" 259777000 0 NA NA
"SSB_1960" "SSB_1960" 260367000 0 NA NA
"SSB_1961" "SSB_1961" 261468000 0 NA NA
"SSB_1962" "SSB_1962" 261178000 0 NA NA
"SSB_1963" "SSB_1963" 263164000 0 NA NA
"SSB_1964" "SSB_1964" 265193000 0 NA NA
"SSB_1965" "SSB_1965" 266258000 0 NA NA
"SSB_1966" "SSB_1966" 266788000 0 NA NA
"SSB_1967" "SSB_1967" 267668000 0 NA NA
"SSB_1968" "SSB_1968" 268645000 0 NA NA
"SSB_1969" "SSB_1969" 268677000 0 NA NA
"SSB_1970" "SSB_1970" 268841000 0 NA NA
"SSB_1971" "SSB_1971" 271592000 0 NA NA
"SSB_1972" "SSB_1972" 274719000 0 NA NA
"SSB_1973" "SSB_1973" 277688000 0 NA NA
"SSB_1974" "SSB_1974" 282772000 0 NA NA
"SSB_1975" "SSB_1975" 287173000 0 NA NA
"SSB_1976" "SSB_1976" 289885000 0 NA NA
"SSB_1977" "SSB_1977" 289514000 0 NA NA
"SSB_1978" "SSB_1978" 289386000 0 NA NA
"SSB_1979" "SSB_1979" 292090000 0 NA NA
"SSB_1980" "SSB_1980" 294511000 0 NA NA
"SSB_1981" "SSB_1981" 295953000 0 NA NA
"SSB_1982" "SSB_1982" 294861000 0 NA NA
"SSB_1983" "SSB_1983" 293661000 0 NA NA
"SSB_1984" "SSB_1984" 284068000 0 NA NA
"SSB_1985" "SSB_1985" 278119000 0 NA NA
"SSB_1986" "SSB_1986" 269477000 0 NA NA
"SSB_1987" "SSB_1987" 257746000 0 NA NA
"SSB_1988" "SSB_1988" 244949000 0 NA NA
"SSB_1989" "SSB_1989" 246682000 0 NA NA
"SSB_1990" "SSB_1990" 262612000 0 NA NA
"SSB_1991" "SSB_1991" 273320000 0 NA NA
"SSB_1992" "SSB_1992" 274831000 0 NA NA
"SSB_1993" "SSB_1993" 271422000 0 NA NA
"SSB_1994" "SSB_1994" 268994000 0 NA NA
"SSB_1995" "SSB_1995" 269033000 0 NA NA
"SSB_1996" "SSB_1996" 269662000 0 NA NA
"SSB_1997" "SSB_1997" 268625000 0 NA NA
"SSB_1998" "SSB_1998" 277304000 0 NA NA
"SSB_1999" "SSB_1999" 305997000 0 NA NA
"SSB_2000" "SSB_2000" 316527000 0 NA NA
"SSB_2001" "SSB_2001" 325263000 0 NA NA
"SSB_2002" "SSB_2002" 317355000 0 NA NA
"SSB_2003" "SSB_2003" 290908000 0 NA NA
"SSB_2004" "SSB_2004" 278089000 0 NA NA
"SSB_2005" "SSB_2005" 267323000 0 NA NA
"SSB_2006" "SSB_2006" 266524000 0 NA NA
"SSB_2007" "SSB_2007" 267724000 0 NA NA
"SSB_2008" "SSB_2008" 266781000 0 NA NA
"SSB_2009" "SSB_2009" 269345000 0 NA NA
"SSB_2010" "SSB_2010" 268943000 0 NA NA
"SSB_2011" "SSB_2011" 263972000 0 NA NA
"SSB_2012" "SSB_2012" 255958000 0 NA NA
"SSB_2013" "SSB_2013" 246559000 0 NA NA
"SSB_2014" "SSB_2014" 237977000 0 NA NA
"SSB_2015" "SSB_2015" 235355000 0 NA NA
"SSB_2016" "SSB_2016" 239062000 0 NA NA
"SSB_2017" "SSB_2017" 239983000 0 NA NA
"SSB_2018" "SSB_2018" 242044000 0 NA NA
"SSB_2019" "SSB_2019" 242132000 0 NA NA
"SSB_2020" "SSB_2020" 239441000 0 NA NA
"SSB_2021" "SSB_2021" 236337000 0 NA NA
"SSB_2022" "SSB_2022" 252259000 0 NA NA
"SSB_2023" "SSB_2023" 281220000 0 NA NA
"Recr_Virgin" "Recr_Virgin" 3268910 0 NA NA
"Recr_Initial" "Recr_Initial" 3268910 0 NA NA
"Recr_1952" "Recr_1952" 3236470 0 NA NA
"Recr_1953" "Recr_1953" 3172430 0 NA NA
"Recr_1954" "Recr_1954" 3138940 0 NA NA
"Recr_1955" "Recr_1955" 3047510 0 NA NA
"Recr_1956" "Recr_1956" 2949730 0 NA NA
"Recr_1957" "Recr_1957" 3240590 0 NA NA
"Recr_1958" "Recr_1958" 3278890 0 NA NA
"Recr_1959" "Recr_1959" 3065180 0 NA NA
"Recr_1960" "Recr_1960" 3303100 0 NA NA
"Recr_1961" "Recr_1961" 3298190 0 NA NA
"Recr_1962" "Recr_1962" 3258620 0 NA NA
"Recr_1963" "Recr_1963" 3235660 0 NA NA
"Recr_1964" "Recr_1964" 3273480 0 NA NA
"Recr_1965" "Recr_1965" 3308440 0 NA NA
"Recr_1966" "Recr_1966" 3260620 0 NA NA
"Recr_1967" "Recr_1967" 3206910 0 NA NA
"Recr_1968" "Recr_1968" 3419270 0 NA NA
"Recr_1969" "Recr_1969" 3468650 0 NA NA
"Recr_1970" "Recr_1970" 3392570 0 NA NA
"Recr_1971" "Recr_1971" 3654530 0 NA NA
"Recr_1972" "Recr_1972" 3618680 0 NA NA
"Recr_1973" "Recr_1973" 3637950 0 NA NA
"Recr_1974" "Recr_1974" 3458060 0 NA NA
"Recr_1975" "Recr_1975" 3426820 0 NA NA
"Recr_1976" "Recr_1976" 3714120 0 NA NA
"Recr_1977" "Recr_1977" 3613440 0 NA NA
"Recr_1978" "Recr_1978" 3737450 0 NA NA
"Recr_1979" "Recr_1979" 3359950 0 NA NA
"Recr_1980" "Recr_1980" 3822410 0 NA NA
"Recr_1981" "Recr_1981" 2807230 0 NA NA
"Recr_1982" "Recr_1982" 3351900 0 NA NA
"Recr_1983" "Recr_1983" 2956640 0 NA NA
"Recr_1984" "Recr_1984" 2818420 0 NA NA
"Recr_1985" "Recr_1985" 2312500 0 NA NA
"Recr_1986" "Recr_1986" 2967810 0 NA NA
"Recr_1987" "Recr_1987" 4074590 0 NA NA
"Recr_1988" "Recr_1988" 3714530 0 NA NA
"Recr_1989" "Recr_1989" 3313010 0 NA NA
"Recr_1990" "Recr_1990" 3073900 0 NA NA
"Recr_1991" "Recr_1991" 3154470 0 NA NA
"Recr_1992" "Recr_1992" 3294930 0 NA NA
"Recr_1993" "Recr_1993" 3325350 0 NA NA
"Recr_1994" "Recr_1994" 3243140 0 NA NA
"Recr_1995" "Recr_1995" 3076610 0 NA NA
"Recr_1996" "Recr_1996" 5620240 0 NA NA
"Recr_1997" "Recr_1997" 3675970 0 NA NA
"Recr_1998" "Recr_1998" 4393050 0 NA NA
"Recr_1999" "Recr_1999" 3895010 0 NA NA
"Recr_2000" "Recr_2000" 1859170 0 NA NA
"Recr_2001" "Recr_2001" 3367550 0 NA NA
"Recr_2002" "Recr_2002" 2684640 0 NA NA
"Recr_2003" "Recr_2003" 3348650 0 NA NA
"Recr_2004" "Recr_2004" 3433530 0 NA NA
"Recr_2005" "Recr_2005" 3036850 0 NA NA
"Recr_2006" "Recr_2006" 3480490 0 NA NA
"Recr_2007" "Recr_2007" 3273690 0 NA NA
"Recr_2008" "Recr_2008" 3011730 0 NA NA
"Recr_2009" "Recr_2009" 2821090 0 NA NA
"Recr_2010" "Recr_2010" 2673100 0 NA NA
"Recr_2011" "Recr_2011" 2561640 0 NA NA
"Recr_2012" "Recr_2012" 2691790 0 NA NA
"Recr_2013" "Recr_2013" 3265150 0 NA NA
"Recr_2014" "Recr_2014" 2812260 0 NA NA
"Recr_2015" "Recr_2015" 3084280 0 NA NA
